property,annotation_id_0,response
can_contain_liquid,67686,yes
can_contain_liquid,242802,yes
can_contain_liquid,237502,yes
can_contain_liquid,121950,yes
can_contain_liquid,262197,yes
can_contain_liquid,7785,yes
can_contain_liquid,242612,yes
can_contain_liquid,54668,yes
can_contain_liquid,295605,yes
can_contain_liquid,237478,yes
can_contain_liquid,230510,yes
can_contain_liquid,146924,yes
can_contain_liquid,73165,yes
can_contain_liquid,237527,yes
can_contain_liquid,18789,yes
can_contain_liquid,279937,yes
can_contain_liquid,241364,yes
can_contain_liquid,128742,yes
can_contain_liquid,205558,yes
can_contain_liquid,98445,yes
can_contain_liquid,237479,yes
can_contain_liquid,23075,yes
can_contain_liquid,190657,yes
can_contain_liquid,215250,yes
can_contain_liquid,18591,yes
can_contain_liquid,239105,yes
can_contain_liquid,98079,yes
can_contain_liquid,120455,yes
can_contain_liquid,260813,yes
can_contain_liquid,245035,yes
can_contain_liquid,105055,yes
can_contain_liquid,307283,yes
can_contain_liquid,81261,yes
can_contain_liquid,247400,yes
can_contain_liquid,133741,yes
can_contain_liquid,157205,yes
can_contain_liquid,237183,yes
can_contain_liquid,127669,yes
can_contain_liquid,216561,yes
can_contain_liquid,156138,yes
can_contain_liquid,177274,yes
can_contain_liquid,287252,yes
can_contain_liquid,295859,yes
can_contain_liquid,142921,yes
can_contain_liquid,210403,yes
can_contain_liquid,146199,yes
can_contain_liquid,136007,yes
can_contain_liquid,175022,yes
can_contain_liquid,197707,yes
can_contain_liquid,68299,yes
can_contain_liquid,206568,yes
can_contain_liquid,198209,yes
can_contain_liquid,165423,yes
can_contain_liquid,8525,yes
can_contain_liquid,137290,yes
can_contain_liquid,39356,yes
can_contain_liquid,209895,yes
can_contain_liquid,174315,yes
can_contain_liquid,145795,yes
can_contain_liquid,165396,yes
can_contain_liquid,145154,yes
can_contain_liquid,93406,yes
can_contain_liquid,5124,yes
can_contain_liquid,288315,yes
can_contain_liquid,28766,yes
can_contain_liquid,102204,yes
can_contain_liquid,234376,yes
can_contain_liquid,128812,yes
can_contain_liquid,147190,yes
can_contain_liquid,7684,yes
can_contain_liquid,19270,yes
can_contain_liquid,82375,yes
can_contain_liquid,35675,yes
can_contain_liquid,302372,yes
can_contain_liquid,226362,yes
can_contain_liquid,247327,yes
can_contain_liquid,243510,yes
can_contain_liquid,186260,yes
can_contain_liquid,49421,yes
can_contain_liquid,161300,yes
can_contain_liquid,59354,yes
can_contain_liquid,40341,yes
can_contain_liquid,32723,yes
can_contain_liquid,56023,yes
can_contain_liquid,52598,yes
can_contain_liquid,224673,yes
can_contain_liquid,6711,yes
can_contain_liquid,105578,yes
can_contain_liquid,239723,yes
can_contain_liquid,20005,yes
can_contain_liquid,270223,yes
can_contain_liquid,130515,yes
can_contain_liquid,206411,yes
can_contain_liquid,276538,yes
can_contain_liquid,265533,yes
can_contain_liquid,225791,yes
can_contain_liquid,165397,yes
can_contain_liquid,121797,yes
can_contain_liquid,80813,yes
can_contain_liquid,221189,yes
can_contain_liquid,127163,yes
can_contain_liquid,186252,yes
can_contain_liquid,36227,yes
can_contain_liquid,224070,yes
can_contain_liquid,166332,yes
can_contain_liquid,93142,yes
can_contain_liquid,35694,yes
can_contain_liquid,124172,yes
can_contain_liquid,205601,yes
can_contain_liquid,224032,yes
can_contain_liquid,182677,yes
can_contain_liquid,31194,yes
can_contain_liquid,105675,yes
can_contain_liquid,245256,yes
can_contain_liquid,237126,yes
can_contain_liquid,182631,yes
can_contain_liquid,111569,yes
can_contain_liquid,231450,yes
can_contain_liquid,298025,yes
can_contain_liquid,63685,yes
can_contain_liquid,34079,yes
can_contain_liquid,288285,yes
can_contain_liquid,171991,yes
can_contain_liquid,219369,yes
can_contain_liquid,307276,yes
can_contain_liquid,199093,yes
can_contain_liquid,66275,yes
can_contain_liquid,2951,yes
can_contain_liquid,301774,yes
can_contain_liquid,9107,yes
can_contain_liquid,110081,yes
can_contain_liquid,175021,yes
can_contain_liquid,287906,yes
can_contain_liquid,199390,yes
can_contain_liquid,52674,yes
can_contain_liquid,307470,yes
can_contain_liquid,219704,yes
can_contain_liquid,36271,yes
can_contain_liquid,206631,yes
can_contain_liquid,251829,yes
can_contain_liquid,20891,yes
can_contain_liquid,98062,yes
can_contain_liquid,109916,yes
can_contain_liquid,60947,yes
can_contain_liquid,183507,yes
can_contain_liquid,186481,yes
can_contain_liquid,66187,yes
can_contain_liquid,294130,yes
can_contain_liquid,216774,yes
can_contain_liquid,79456,yes
can_contain_liquid,247970,yes
can_contain_liquid,150564,yes
can_contain_liquid,87362,yes
can_contain_liquid,220691,yes
can_contain_liquid,299378,yes
can_contain_liquid,39849,yes
can_contain_liquid,101989,yes
can_contain_liquid,305891,yes
can_contain_liquid,204656,yes
can_contain_liquid,206203,yes
can_contain_liquid,256122,yes
can_contain_liquid,229420,yes
can_contain_liquid,187148,yes
can_contain_liquid,168491,yes
can_contain_liquid,104950,yes
can_contain_liquid,301531,yes
can_contain_liquid,102625,yes
can_contain_liquid,254240,yes
can_contain_liquid,191511,yes
can_contain_liquid,48760,yes
can_contain_liquid,147633,yes
can_contain_liquid,192749,yes
can_contain_liquid,5296,yes
can_contain_liquid,127186,yes
can_contain_liquid,221131,yes
can_contain_liquid,52452,yes
can_contain_liquid,68519,yes
can_contain_liquid,185969,yes
can_contain_liquid,297850,yes
can_contain_liquid,292488,yes
can_contain_liquid,43093,yes
can_contain_liquid,160,yes
can_contain_liquid,90668,yes
can_contain_liquid,138600,yes
can_contain_liquid,83864,yes
can_contain_liquid,245643,yes
can_contain_liquid,97198,yes
can_contain_liquid,88321,yes
can_contain_liquid,121844,yes
can_contain_liquid,302923,yes
can_contain_liquid,79634,yes
can_contain_liquid,208230,yes
can_contain_liquid,243528,yes
can_contain_liquid,20597,yes
can_contain_liquid,18144,yes
can_contain_liquid,161124,yes
can_contain_liquid,44840,yes
can_contain_liquid,132662,yes
can_contain_liquid,266920,yes
can_contain_liquid,56114,yes
can_contain_liquid,307278,yes
can_contain_liquid,201796,yes
can_contain_liquid,278456,yes
can_contain_liquid,248184,yes
can_contain_liquid,194807,yes
can_contain_liquid,93108,yes
can_contain_liquid,4536,yes
can_contain_liquid,63408,yes
can_contain_liquid,70000,yes
can_contain_liquid,303683,yes
can_contain_liquid,188304,yes
can_contain_liquid,52675,yes
can_contain_liquid,303711,yes
can_contain_liquid,4894,yes
can_contain_liquid,230033,yes
can_contain_liquid,300831,yes
can_contain_liquid,222332,yes
can_contain_liquid,132532,yes
can_contain_liquid,106744,yes
can_contain_liquid,182540,yes
can_contain_liquid,293204,yes
can_contain_liquid,272205,yes
can_contain_liquid,301924,yes
can_contain_liquid,52671,yes
can_contain_liquid,252112,yes
can_contain_liquid,108066,yes
can_contain_liquid,226609,yes
can_contain_liquid,193632,yes
can_contain_liquid,102579,yes
can_contain_liquid,257838,yes
can_contain_liquid,38074,yes
can_contain_liquid,124210,yes
can_contain_liquid,168497,yes
can_contain_liquid,72053,yes
can_contain_liquid,56728,yes
can_contain_liquid,301558,yes
can_contain_liquid,255152,yes
can_contain_liquid,233871,yes
can_contain_liquid,186562,yes
can_contain_liquid,90534,yes
can_contain_liquid,79485,yes
can_contain_liquid,218970,yes
can_contain_liquid,221163,yes
can_contain_liquid,55363,yes
can_contain_liquid,244212,yes
can_contain_liquid,13554,yes
can_contain_liquid,60193,yes
can_contain_liquid,142186,yes
can_contain_liquid,297839,yes
can_contain_liquid,113654,yes
can_contain_liquid,248187,yes
can_contain_liquid,43857,yes
can_contain_liquid,175611,yes
can_contain_liquid,29073,yes
can_contain_liquid,204910,yes
can_contain_liquid,113707,yes
can_contain_liquid,268363,yes
can_contain_liquid,34087,yes
can_contain_liquid,265400,yes
can_contain_liquid,127135,yes
can_contain_liquid,257500,yes
can_contain_liquid,69824,yes
can_contain_liquid,56660,yes
can_contain_liquid,292545,yes
can_contain_liquid,151213,yes
can_contain_liquid,64704,yes
can_contain_liquid,151054,yes
can_contain_liquid,201781,yes
can_contain_liquid,80192,yes
can_contain_liquid,236743,yes
can_contain_liquid,206147,yes
can_contain_liquid,63632,yes
can_contain_liquid,148689,yes
can_contain_liquid,243090,yes
can_contain_liquid,51035,yes
can_contain_liquid,198204,yes
can_contain_liquid,89424,yes
can_contain_liquid,267525,yes
can_contain_liquid,286091,yes
can_contain_liquid,79949,yes
can_contain_liquid,291509,yes
can_contain_liquid,205413,yes
can_contain_liquid,217258,yes
can_contain_liquid,184970,yes
can_contain_liquid,119426,yes
can_contain_liquid,128631,yes
can_contain_liquid,81508,yes
can_contain_liquid,284690,yes
can_contain_liquid,272893,yes
can_contain_liquid,137936,yes
can_contain_liquid,48943,yes
can_contain_liquid,197767,yes
can_contain_liquid,135891,yes
