property,annotation_id_0,response
is_sealed,242802,no
is_sealed,237502,no
is_sealed,121950,no
is_sealed,262197,no
is_sealed,7785,no
is_sealed,54668,no
is_sealed,295605,no
is_sealed,237478,no
is_sealed,230510,no
is_sealed,146924,no
is_sealed,73165,no
is_sealed,237527,no
is_sealed,18789,no
is_sealed,241364,no
is_sealed,128742,no
is_sealed,205558,no
is_sealed,98445,no
is_sealed,237479,no
is_sealed,23075,no
is_sealed,215250,no
is_sealed,18591,no
is_sealed,260813,no
is_sealed,307283,no
is_sealed,81261,no
is_sealed,133741,no
is_sealed,157205,no
is_sealed,237183,no
is_sealed,4624,no
is_sealed,156138,no
is_sealed,177274,no
is_sealed,287252,no
is_sealed,295859,no
is_sealed,142921,no
is_sealed,210403,no
is_sealed,136007,no
is_sealed,175022,no
is_sealed,68299,no
is_sealed,206568,no
is_sealed,275471,no
is_sealed,188950,no
is_sealed,198209,no
is_sealed,165423,no
is_sealed,8525,no
is_sealed,137290,no
is_sealed,39356,no
is_sealed,209895,no
is_sealed,145795,no
is_sealed,165396,no
is_sealed,145154,no
is_sealed,93406,no
is_sealed,5124,no
is_sealed,238151,no
is_sealed,28766,no
is_sealed,206083,no
is_sealed,147190,no
is_sealed,82375,no
is_sealed,35675,no
is_sealed,302372,no
is_sealed,226362,no
is_sealed,70743,no
is_sealed,158156,no
is_sealed,243510,no
is_sealed,186260,no
is_sealed,49421,no
is_sealed,47776,no
is_sealed,40341,no
is_sealed,32723,no
is_sealed,56023,no
is_sealed,206575,no
is_sealed,121970,no
is_sealed,188215,no
is_sealed,20005,no
is_sealed,270223,no
is_sealed,206411,no
is_sealed,276538,no
is_sealed,265533,no
is_sealed,225791,no
is_sealed,165397,no
is_sealed,231517,no
is_sealed,184844,no
is_sealed,186252,no
is_sealed,36227,no
is_sealed,224070,no
is_sealed,250990,no
is_sealed,35694,no
is_sealed,124172,no
is_sealed,224032,no
is_sealed,182677,no
is_sealed,31194,no
is_sealed,105675,no
is_sealed,196497,no
is_sealed,245256,no
is_sealed,183055,no
is_sealed,64886,no
is_sealed,237126,no
is_sealed,182631,no
is_sealed,111569,no
is_sealed,208819,no
is_sealed,34079,no
is_sealed,288285,no
is_sealed,171991,no
is_sealed,307276,no
is_sealed,199093,no
is_sealed,171890,no
is_sealed,2951,no
is_sealed,110081,no
is_sealed,175021,no
is_sealed,129906,no
is_sealed,243069,no
is_sealed,199390,no
is_sealed,52674,no
is_sealed,307470,no
is_sealed,219704,no
is_sealed,102252,no
is_sealed,36271,no
is_sealed,230278,no
is_sealed,206631,no
is_sealed,250996,no
is_sealed,20891,no
is_sealed,98062,no
is_sealed,109916,no
is_sealed,60947,no
is_sealed,107171,no
is_sealed,186481,no
is_sealed,66187,no
is_sealed,261323,no
is_sealed,294130,no
is_sealed,79456,no
is_sealed,247970,no
is_sealed,150564,no
is_sealed,198976,no
is_sealed,87362,no
is_sealed,220691,no
is_sealed,39849,no
is_sealed,70010,no
is_sealed,206203,no
is_sealed,186821,no
is_sealed,73199,no
is_sealed,256122,no
is_sealed,307262,no
is_sealed,217236,no
is_sealed,113814,no
is_sealed,120510,no
is_sealed,92866,no
is_sealed,139421,no
is_sealed,110549,no
is_sealed,134057,no
is_sealed,221131,no
is_sealed,52452,no
is_sealed,68519,no
is_sealed,185969,no
is_sealed,43093,no
is_sealed,280578,no
is_sealed,86704,no
is_sealed,252714,no
is_sealed,90668,no
is_sealed,14171,no
is_sealed,138600,no
is_sealed,194068,no
is_sealed,245643,no
is_sealed,97198,no
is_sealed,121844,no
is_sealed,250271,no
is_sealed,79634,no
is_sealed,150114,no
is_sealed,37189,no
is_sealed,20597,no
is_sealed,252774,no
is_sealed,18144,no
is_sealed,252763,no
is_sealed,41466,no
is_sealed,161124,no
is_sealed,277518,no
is_sealed,264334,no
is_sealed,44840,no
is_sealed,132662,no
is_sealed,31109,no
is_sealed,56114,no
is_sealed,201796,no
is_sealed,278456,no
is_sealed,63408,no
is_sealed,70000,no
is_sealed,267445,no
is_sealed,280315,no
is_sealed,172330,no
is_sealed,188304,no
is_sealed,52675,no
is_sealed,98241,no
is_sealed,304523,no
is_sealed,39872,no
is_sealed,217471,no
is_sealed,4894,no
is_sealed,86600,no
is_sealed,230033,no
is_sealed,192097,no
is_sealed,181381,no
is_sealed,132532,no
is_sealed,223949,no
is_sealed,302254,no
is_sealed,106744,no
is_sealed,182540,no
is_sealed,87089,no
is_sealed,52671,no
is_sealed,8359,no
is_sealed,252112,no
is_sealed,261693,no
is_sealed,58598,no
is_sealed,98425,no
is_sealed,149233,no
is_sealed,90552,no
is_sealed,217453,no
is_sealed,86634,no
is_sealed,293688,no
is_sealed,193632,no
is_sealed,166808,no
is_sealed,217136,no
is_sealed,137324,no
is_sealed,153406,no
is_sealed,196536,no
is_sealed,124210,no
is_sealed,92302,no
is_sealed,297840,no
is_sealed,104947,no
is_sealed,238017,no
is_sealed,70835,no
is_sealed,257634,no
is_sealed,103531,no
is_sealed,301558,no
is_sealed,233871,no
is_sealed,186562,no
is_sealed,36733,no
is_sealed,90534,no
is_sealed,89329,no
is_sealed,83478,no
is_sealed,79485,no
is_sealed,43862,no
is_sealed,13554,no
is_sealed,260829,no
is_sealed,182970,no
is_sealed,169695,no
