property,annotation_id_0,annotation_id_1,response
mass,63601,182971,left
mass,63601,194652,left
mass,63601,8481,left
mass,63601,161971,left
mass,63601,32880,left
mass,63601,292684,left
mass,63601,245943,left
mass,63601,184623,left
mass,63601,45083,left
mass,63601,65392,left
mass,63601,306735,left
mass,63601,20976,left
mass,63601,252684,left
mass,63601,261008,left
mass,63601,38778,left
mass,63601,214784,left
mass,63601,153425,left
mass,63601,64583,left
mass,63601,76865,left
mass,63601,83218,left
mass,63601,117957,left
mass,63601,70378,left
mass,63601,86456,left
mass,63601,121207,left
mass,63601,180051,left
mass,63601,62959,left
mass,63601,68356,left
mass,63601,58601,left
mass,63601,242802,left
mass,63601,92949,left
mass,63601,250134,left
mass,63601,19964,left
mass,63601,156120,left
mass,63601,179516,left
mass,63601,38899,left
mass,63601,130520,left
mass,63601,237502,left
mass,63601,76249,left
mass,63601,80357,left
mass,63601,121950,left
mass,63601,105815,left
mass,63601,217391,left
mass,63601,290650,left
mass,63601,262197,left
mass,63601,7785,left
mass,63601,93644,left
mass,63601,253099,left
mass,63601,241856,left
mass,63601,45299,left
mass,63601,291444,left
mass,63601,210249,left
mass,63601,274977,left
mass,63601,127642,left
mass,63601,250740,left
mass,63601,56984,left
mass,63601,23337,left
mass,63601,139872,left
mass,63601,38668,left
mass,63601,9701,left
mass,63601,54668,left
mass,63601,255063,left
mass,63601,284172,left
mass,63601,297029,left
mass,63601,131674,left
mass,63601,110243,left
mass,63601,101322,left
mass,63601,237478,left
mass,63601,8144,left
mass,63601,238908,left
mass,63601,230510,left
mass,63601,8719,left
mass,63601,41316,left
mass,63601,143998,left
mass,63601,258630,left
mass,63601,204667,left
mass,63601,110763,left
mass,63601,171264,left
mass,63601,151133,left
mass,63601,74973,left
mass,63601,146924,left
mass,63601,19794,left
mass,63601,89204,left
mass,63601,262313,left
mass,63601,16915,left
mass,63601,37224,left
mass,63601,87483,left
mass,63601,43906,left
mass,63601,237527,left
mass,63601,242413,left
mass,63601,196902,left
mass,63601,270797,left
mass,63601,287151,left
mass,63601,121628,left
mass,63601,300586,left
mass,63601,164906,left
mass,63601,134882,left
mass,63601,100193,left
mass,63601,18789,left
mass,63601,241364,left
mass,63601,282945,left
mass,63601,274133,left
mass,63601,128742,left
mass,63601,55019,left
mass,63601,205558,left
mass,63601,307619,left
mass,63601,98445,left
mass,63601,237479,left
mass,63601,154976,left
mass,63601,23075,left
mass,63601,238498,left
mass,63601,211780,left
mass,63601,207278,left
mass,63601,181679,left
mass,63601,215250,left
mass,63601,18591,left
mass,63601,93660,left
mass,63601,202964,left
mass,63601,23327,left
mass,63601,15816,left
mass,63601,67167,left
mass,63601,246908,left
mass,63601,231412,left
mass,63601,170472,left
mass,63601,93233,left
mass,63601,90233,left
mass,63601,40345,left
mass,63601,193090,left
mass,63601,249842,left
mass,63601,226882,left
mass,63601,67336,left
mass,63601,126670,left
mass,63601,274095,left
mass,63601,119073,left
mass,63601,105986,left
mass,63601,260813,left
mass,63601,183755,left
mass,63601,230889,left
mass,63601,212310,left
mass,63601,203450,left
mass,63601,59386,left
mass,63601,228372,left
mass,63601,69485,left
mass,63601,248590,left
mass,63601,58860,left
mass,63601,279678,left
mass,63601,242704,left
mass,63601,114142,left
mass,63601,58464,left
mass,63601,59579,left
mass,63601,76749,left
mass,63601,307283,left
mass,63601,81261,left
mass,63601,165108,left
mass,63601,248019,left
mass,63601,113365,left
mass,63601,174847,left
mass,63601,211208,left
mass,63601,111726,left
mass,63601,13636,left
mass,63601,179729,left
mass,63601,233924,left
mass,63601,157551,left
mass,63601,148292,left
mass,63601,147710,left
mass,63601,42130,left
mass,63601,307861,left
mass,63601,143621,left
mass,63601,178394,left
mass,63601,177665,left
mass,63601,215348,left
mass,63601,91750,left
mass,63601,267839,left
mass,63601,274198,left
mass,63601,30675,left
mass,63601,133741,left
mass,63601,288931,left
mass,63601,184563,left
mass,63601,238496,left
mass,63601,208740,left
mass,63601,143307,left
mass,63601,157205,left
mass,63601,254089,left
mass,63601,190403,left
mass,63601,237183,left
mass,63601,88645,left
mass,63601,231441,left
mass,63601,89590,left
mass,63601,61598,left
mass,63601,268490,left
mass,63601,156138,left
mass,63601,297959,left
mass,63601,154629,left
mass,63601,292716,left
mass,63601,67149,left
mass,63601,177274,left
mass,63601,287252,left
mass,63601,51379,left
mass,63601,44737,left
mass,63601,295859,left
mass,63601,142921,left
mass,63601,139893,left
mass,63601,210403,left
mass,63601,174732,left
mass,63601,105418,left
mass,63601,137812,left
mass,63601,171914,left
mass,63601,39394,left
mass,63601,106666,left
mass,63601,71043,left
mass,63601,203824,left
mass,63601,68698,left
mass,63601,302220,left
mass,63601,127767,left
mass,63601,142155,left
mass,63601,299794,left
mass,63601,294230,left
mass,63601,173431,left
mass,63601,98974,left
mass,63601,32679,left
mass,63601,213766,left
mass,63601,112577,left
mass,63601,164613,left
mass,63601,64504,left
mass,63601,193793,left
mass,63601,136007,left
mass,63601,87090,left
mass,63601,175022,left
mass,63601,208259,left
mass,63601,27920,left
mass,63601,31104,left
mass,63601,68299,left
mass,63601,86019,left
mass,63601,109808,left
mass,63601,156847,left
mass,63601,206568,left
mass,63601,216799,left
mass,63601,196584,left
mass,63601,92091,left
mass,63601,16094,left
mass,63601,275471,left
mass,63601,71074,left
mass,63601,66437,left
mass,63601,128509,left
mass,63601,8586,left
mass,63601,254866,left
mass,63601,188950,left
mass,63601,241632,left
mass,63601,179643,left
mass,63601,165423,left
mass,63601,197487,left
mass,63601,146098,left
mass,63601,26329,left
mass,63601,153444,left
mass,63601,68699,left
mass,63601,270439,left
mass,63601,301418,left
mass,63601,130707,left
mass,63601,173304,left
mass,63601,8525,left
mass,63601,183781,left
mass,63601,137290,left
mass,63601,276443,left
mass,63601,160014,left
mass,63601,211102,left
mass,63601,85745,left
mass,63601,144608,left
mass,63601,39356,left
mass,63601,247580,left
mass,63601,209895,left
mass,63601,117477,left
mass,63601,277909,left
mass,63601,145795,left
mass,63601,199988,left
mass,63601,58602,left
mass,63601,189241,left
mass,63601,165396,left
mass,63601,142969,left
mass,63601,219174,left
mass,63601,271045,left
mass,63601,145154,left
mass,63601,29330,left
mass,63601,93406,left
mass,63601,205386,left
mass,63601,5124,left
mass,63601,17366,left
mass,63601,215419,left
mass,63601,238151,left
mass,63601,212928,left
mass,63601,262100,left
mass,63601,276135,left
mass,63601,75995,left
mass,63601,110644,left
mass,63601,281262,left
mass,63601,160497,left
mass,63601,200434,left
mass,63601,261363,left
mass,63601,28766,left
mass,63601,69459,left
mass,63601,161921,left
mass,63601,162673,left
mass,63601,18555,left
mass,63601,290583,left
mass,63601,206083,left
mass,63601,146453,left
mass,63601,96176,left
mass,63601,207542,left
mass,63601,130723,left
mass,63601,2167,left
mass,63601,156410,left
mass,63601,103583,left
mass,63601,228522,left
mass,63601,288589,left
mass,63601,55405,left
mass,63601,249374,left
mass,63601,149349,left
mass,63601,257494,left
mass,63601,251477,left
mass,63601,122214,left
mass,63601,281172,left
mass,63601,217947,left
mass,63601,35675,left
mass,63601,266035,left
mass,63601,4184,left
mass,63601,289288,left
mass,63601,282951,left
mass,63601,26251,left
mass,63601,302372,left
mass,63601,53969,left
mass,63601,140108,left
mass,63601,36104,left
mass,63601,275292,left
mass,63601,180035,left
mass,63601,226362,left
mass,63601,70743,left
mass,63601,220498,left
mass,63601,158156,left
mass,63601,252696,left
mass,63601,243510,left
mass,63601,203900,left
mass,63601,275077,left
mass,63601,106227,left
mass,63601,26566,left
mass,63601,125108,left
mass,63601,186260,left
mass,63601,82775,left
mass,63601,152397,left
mass,63601,49421,left
mass,63601,105118,left
mass,63601,47776,left
mass,63601,125078,left
mass,63601,232207,left
mass,63601,278204,left
mass,63601,48511,left
mass,63601,260416,left
mass,63601,158837,left
mass,63601,245074,left
mass,63601,114409,left
mass,63601,40341,left
mass,63601,32723,left
mass,63601,139312,left
mass,63601,97896,left
mass,63601,3389,left
mass,63601,21005,left
mass,63601,92136,left
mass,63601,117910,left
mass,63601,129950,left
mass,63601,56023,left
mass,63601,149543,left
mass,63601,143285,left
mass,63601,44793,left
mass,63601,184624,left
mass,63601,79968,left
mass,63601,72555,left
mass,63601,208267,left
mass,63601,216709,left
mass,63601,97855,left
mass,63601,24142,left
mass,63601,264221,left
mass,63601,283880,left
mass,63601,186913,left
mass,63601,163249,left
mass,63601,131383,left
mass,63601,18916,left
mass,63601,198687,left
mass,63601,108861,left
mass,63601,264220,left
mass,63601,206575,left
mass,63601,13975,left
mass,63601,230129,left
mass,63601,121970,left
mass,63601,197,left
mass,63601,300836,left
mass,63601,282954,left
mass,63601,133577,left
mass,63601,90569,left
mass,63601,101434,left
mass,63601,188215,left
mass,63601,286851,left
mass,63601,242836,left
mass,63601,229772,left
mass,63601,270223,left
mass,63601,294047,left
mass,63601,243525,left
mass,63601,213136,left
mass,63601,90364,left
mass,63601,81020,left
mass,63601,107755,left
mass,63601,201657,left
mass,63601,66454,left
mass,63601,94231,left
mass,63601,276538,left
mass,63601,192336,left
mass,63601,265533,left
mass,63601,60820,left
mass,63601,236707,left
mass,63601,286200,left
mass,63601,105938,left
mass,63601,225791,left
mass,63601,54293,left
mass,63601,247511,left
mass,63601,59880,left
mass,63601,150367,left
mass,63601,259145,left
mass,63601,1815,left
mass,63601,134012,left
mass,63601,87610,left
mass,63601,121438,left
mass,63601,166621,left
mass,63601,232488,left
mass,63601,52560,left
mass,63601,233999,left
mass,63601,204062,left
mass,63601,231517,left
mass,63601,239718,left
mass,63601,184844,left
mass,63601,186252,left
mass,63601,305039,left
mass,63601,202796,left
mass,63601,236147,left
mass,63601,39237,left
mass,63601,137019,left
mass,63601,26136,left
mass,63601,250990,left
mass,63601,288778,left
mass,63601,20479,left
mass,63601,93142,left
mass,63601,198587,left
mass,63601,28452,left
mass,63601,35694,left
mass,63601,124172,left
mass,63601,210867,left
mass,63601,147605,left
mass,63601,3451,left
mass,63601,224032,left
mass,63601,38165,left
mass,63601,172889,left
mass,63601,117302,left
mass,63601,279889,left
mass,63601,182677,left
mass,63601,31194,left
mass,63601,105675,left
mass,63601,79826,left
mass,63601,40555,left
mass,63601,196497,left
mass,63601,245256,left
mass,63601,165907,left
mass,63601,192288,left
mass,63601,183055,left
mass,63601,64886,left
mass,63601,11968,left
mass,63601,237126,left
mass,63601,209875,left
mass,63601,182631,left
mass,63601,111569,left
mass,63601,199985,left
mass,63601,146623,left
mass,63601,15301,left
mass,63601,140333,left
mass,63601,53002,left
mass,63601,240883,left
mass,63601,23423,left
mass,63601,208819,left
mass,63601,138142,left
mass,63601,149783,left
mass,63601,124247,left
mass,63601,42985,left
mass,63601,298025,left
mass,63601,32377,left
mass,63601,136285,left
mass,63601,6633,left
mass,63601,14145,left
mass,63601,108108,left
mass,63601,119866,left
mass,63601,307590,left
mass,63601,20121,left
mass,63601,139573,left
mass,63601,142152,left
mass,63601,33756,left
mass,63601,235777,left
mass,63601,207040,left
mass,63601,34079,left
mass,63601,151109,left
mass,63601,30969,left
mass,63601,38310,left
mass,63601,303867,left
mass,63601,114103,left
mass,63601,288285,left
mass,63601,86053,left
mass,63601,171991,left
mass,63601,96079,left
mass,63601,141012,left
mass,63601,181082,left
mass,63601,1724,left
mass,63601,285502,left
mass,63601,307276,left
mass,63601,184320,left
mass,63601,256479,left
mass,63601,121671,left
mass,63601,71443,left
mass,63601,280556,left
mass,63601,171890,left
mass,63601,2951,left
mass,63601,44594,left
mass,63601,289459,left
mass,63601,252373,left
mass,63601,167789,left
mass,63601,42008,left
mass,63601,110081,left
mass,63601,175021,left
mass,63601,71814,left
mass,63601,129906,left
mass,63601,280156,left
mass,63601,243069,left
mass,63601,204551,left
mass,63601,199390,left
mass,63601,52674,left
mass,63601,307470,left
mass,63601,136120,left
mass,63601,219704,left
mass,63601,36271,left
mass,63601,279149,left
mass,63601,206631,left
mass,63601,153309,left
mass,63601,154899,left
mass,63601,231090,left
mass,63601,185141,left
mass,63601,250996,left
mass,63601,170886,left
mass,63601,20891,left
mass,63601,23285,left
mass,63601,98062,left
mass,63601,81027,left
mass,63601,109916,left
mass,63601,117503,left
mass,63601,60859,left
mass,63601,112848,left
mass,63601,60947,left
mass,63601,107171,left
mass,63601,146201,left
mass,63601,140448,left
mass,63601,85547,left
mass,63601,191893,left
mass,63601,199410,left
mass,63601,205385,left
mass,63601,220644,left
mass,63601,62504,left
mass,63601,154613,left
mass,63601,186481,left
mass,63601,53983,left
mass,63601,77705,left
mass,63601,261323,left
mass,63601,213155,left
mass,63601,294130,left
mass,63601,209953,left
mass,63601,89119,left
mass,63601,247970,left
mass,63601,150564,left
mass,63601,87362,left
mass,63601,60299,left
mass,63601,105136,left
mass,63601,220691,left
mass,63601,170439,left
mass,63601,80982,left
mass,63601,39849,left
mass,63601,266527,left
mass,63601,157975,left
mass,63601,173203,left
mass,63601,70010,left
mass,63601,183646,left
mass,63601,57165,left
mass,63601,172425,left
mass,63601,166598,left
mass,63601,117779,left
mass,63601,64651,left
mass,63601,206203,left
mass,63601,145735,left
mass,63601,186821,left
mass,63601,166421,left
mass,63601,73199,left
mass,63601,181095,left
mass,63601,270106,left
mass,63601,256122,left
mass,63601,307262,left
mass,63601,97546,left
mass,63601,186474,left
mass,63601,168491,left
mass,63601,217236,left
mass,63601,58287,left
mass,63601,1435,left
mass,63601,113814,left
mass,63601,254240,left
mass,63601,262694,left
mass,63601,148818,left
mass,63601,78917,left
mass,63601,55476,left
mass,63601,120510,left
mass,63601,177798,left
mass,63601,141468,left
mass,63601,92866,left
mass,63601,239708,left
mass,63601,139421,left
mass,63601,301299,left
mass,63601,213442,left
mass,63601,255535,left
mass,63601,16646,left
mass,63601,152256,left
mass,63601,43402,left
mass,63601,176616,left
mass,63601,29647,left
mass,63601,301802,left
mass,63601,30176,left
mass,63601,50718,left
mass,63601,157955,left
mass,63601,132821,left
mass,63601,213427,left
mass,63601,85422,left
mass,63601,253787,left
mass,63601,147445,left
mass,63601,175105,left
mass,63601,219273,left
mass,63601,134057,left
mass,63601,259803,left
mass,63601,221131,left
mass,63601,2906,left
mass,63601,200752,left
mass,63601,52452,left
mass,63601,40871,left
mass,63601,258477,left
mass,63601,284645,left
mass,63601,117204,left
mass,63601,156414,left
mass,63601,139776,left
