property,annotation_id_0,response
transparency,260813,transparent
transparency,177274,transparent
transparency,295859,transparent
transparency,142921,transparent
transparency,210403,transparent
transparency,206568,transparent
transparency,137290,transparent
transparency,5124,transparent
transparency,28766,transparent
transparency,35675,transparent
transparency,226362,transparent
transparency,182677,transparent
transparency,31194,transparent
transparency,182631,transparent
transparency,90668,transparent
transparency,97198,transparent
transparency,188304,transparent
transparency,124210,transparent
transparency,90534,transparent
transparency,182971,opaque
transparency,194652,opaque
transparency,32880,opaque
transparency,245943,opaque
transparency,65392,opaque
transparency,306735,opaque
transparency,252684,opaque
transparency,86456,opaque
transparency,223508,opaque
transparency,62959,opaque
transparency,61310,opaque
transparency,92949,opaque
transparency,156120,opaque
transparency,179516,opaque
transparency,38899,opaque
transparency,130520,opaque
transparency,76249,opaque
transparency,290650,opaque
transparency,93644,opaque
transparency,253099,opaque
transparency,60420,opaque
transparency,241856,opaque
transparency,45299,opaque
transparency,127642,opaque
transparency,250740,opaque
transparency,147680,opaque
transparency,207461,opaque
transparency,139872,opaque
transparency,9701,opaque
transparency,255063,opaque
transparency,284172,opaque
transparency,297029,opaque
transparency,131674,opaque
transparency,101322,opaque
transparency,8144,opaque
transparency,224897,opaque
transparency,8719,opaque
transparency,41316,opaque
transparency,204667,opaque
transparency,110763,opaque
transparency,151133,opaque
transparency,74973,opaque
transparency,19794,opaque
transparency,89204,opaque
transparency,37224,opaque
transparency,308284,opaque
transparency,87483,opaque
transparency,43906,opaque
transparency,242413,opaque
transparency,85118,opaque
transparency,196902,opaque
transparency,270797,opaque
transparency,287151,opaque
transparency,121628,opaque
transparency,164906,opaque
transparency,100193,opaque
transparency,282945,opaque
transparency,55019,opaque
transparency,231571,opaque
transparency,154976,opaque
transparency,238498,opaque
transparency,211780,opaque
transparency,207278,opaque
transparency,181679,opaque
transparency,202964,opaque
transparency,206883,opaque
transparency,15816,opaque
transparency,67167,opaque
transparency,246908,opaque
transparency,170472,opaque
transparency,63601,opaque
transparency,93233,opaque
transparency,231648,opaque
transparency,40345,opaque
transparency,27529,opaque
transparency,67336,opaque
transparency,126670,opaque
transparency,274095,opaque
transparency,119073,opaque
transparency,230889,opaque
transparency,203450,opaque
transparency,59386,opaque
transparency,228372,opaque
transparency,69485,opaque
transparency,248590,opaque
transparency,58860,opaque
transparency,279678,opaque
transparency,89736,opaque
transparency,242704,opaque
transparency,58464,opaque
transparency,76749,opaque
transparency,113365,opaque
transparency,111726,opaque
transparency,179729,opaque
transparency,56773,opaque
transparency,147710,opaque
transparency,42130,opaque
transparency,178394,opaque
transparency,91750,opaque
transparency,83810,opaque
transparency,238496,opaque
transparency,143307,opaque
transparency,254089,opaque
transparency,190403,opaque
transparency,214916,opaque
transparency,88645,opaque
transparency,231441,opaque
transparency,227040,opaque
transparency,15533,opaque
transparency,61598,opaque
transparency,268490,opaque
transparency,297959,opaque
transparency,154629,opaque
transparency,292716,opaque
transparency,67149,opaque
transparency,51379,opaque
transparency,123139,opaque
transparency,22217,opaque
transparency,174732,opaque
transparency,106666,opaque
transparency,203824,opaque
transparency,68698,opaque
transparency,86309,opaque
transparency,32679,opaque
transparency,213766,opaque
transparency,235131,opaque
transparency,64504,opaque
transparency,193793,opaque
transparency,87090,opaque
transparency,27920,opaque
transparency,31104,opaque
transparency,156847,opaque
transparency,216799,opaque
