property,annotation_id_0,response
can_contain_liquid,146976,yes
can_contain_liquid,28970,yes
can_contain_liquid,246040,yes
can_contain_liquid,216563,no
can_contain_liquid,192116,yes
can_contain_liquid,206575,yes
can_contain_liquid,206083,yes
can_contain_liquid,188215,no
can_contain_liquid,136431,no
can_contain_liquid,280578,no
can_contain_liquid,286401,yes
can_contain_liquid,264334,no
can_contain_liquid,193513,yes
can_contain_liquid,302254,no
can_contain_liquid,252714,no
can_contain_liquid,43862,yes
can_contain_liquid,172330,yes
can_contain_liquid,288884,yes
can_contain_liquid,291124,no
can_contain_liquid,152152,yes
can_contain_liquid,150211,yes
can_contain_liquid,74390,yes
can_contain_liquid,146280,no
can_contain_liquid,137324,yes
can_contain_liquid,174168,no
can_contain_liquid,37189,yes
can_contain_liquid,73095,yes
can_contain_liquid,172408,yes
can_contain_liquid,50419,no
can_contain_liquid,90552,yes
can_contain_liquid,256748,yes
can_contain_liquid,214884,yes
can_contain_liquid,198976,yes
can_contain_liquid,270220,no
can_contain_liquid,132954,yes
can_contain_liquid,183055,yes
can_contain_liquid,248406,yes
can_contain_liquid,181381,yes
can_contain_liquid,28971,yes
can_contain_liquid,232628,yes
can_contain_liquid,210966,no
can_contain_liquid,105982,no
can_contain_liquid,96838,no
can_contain_liquid,256060,yes
can_contain_liquid,177708,no
can_contain_liquid,137961,yes
can_contain_liquid,96093,no
can_contain_liquid,87530,yes
can_contain_liquid,228057,no
can_contain_liquid,143642,yes
can_contain_liquid,39872,no
can_contain_liquid,61129,no
can_contain_liquid,151538,no
can_contain_liquid,98425,yes
can_contain_liquid,202009,no
can_contain_liquid,220303,yes
can_contain_liquid,281679,yes
can_contain_liquid,293749,no
can_contain_liquid,208819,no
can_contain_liquid,293208,yes
can_contain_liquid,235037,unknown
can_contain_liquid,39211,yes
can_contain_liquid,64886,yes
can_contain_liquid,217081,no
can_contain_liquid,210713,no
can_contain_liquid,70168,no
can_contain_liquid,174742,yes
can_contain_liquid,243069,no
can_contain_liquid,297184,no
can_contain_liquid,214889,no
can_contain_liquid,156948,yes
can_contain_liquid,292527,yes
can_contain_liquid,58598,no
can_contain_liquid,34484,no
can_contain_liquid,98241,no
can_contain_liquid,267024,yes
can_contain_liquid,86704,no
can_contain_liquid,181144,yes
can_contain_liquid,307262,no
can_contain_liquid,82343,yes
can_contain_liquid,100554,unknown
can_contain_liquid,204866,yes
can_contain_liquid,217136,no
can_contain_liquid,198876,yes
can_contain_liquid,129906,yes
can_contain_liquid,127200,yes
can_contain_liquid,184844,yes
can_contain_liquid,70835,no
can_contain_liquid,37607,yes
can_contain_liquid,196434,yes
can_contain_liquid,22655,yes
can_contain_liquid,293615,no
can_contain_liquid,223949,yes
can_contain_liquid,91895,yes
can_contain_liquid,285296,no
can_contain_liquid,171442,yes
can_contain_liquid,194939,yes
can_contain_liquid,3542,yes
can_contain_liquid,290313,no
can_contain_liquid,93392,yes
can_contain_liquid,171318,no
can_contain_liquid,275471,no
can_contain_liquid,216121,yes
can_contain_liquid,63540,yes
can_contain_liquid,157063,yes
can_contain_liquid,297939,yes
can_contain_liquid,206600,no
can_contain_liquid,184234,yes
can_contain_liquid,36733,yes
can_contain_liquid,39616,yes
can_contain_liquid,189022,no
can_contain_liquid,235613,yes
can_contain_liquid,194941,yes
can_contain_liquid,235286,yes
can_contain_liquid,68768,yes
can_contain_liquid,87089,yes
can_contain_liquid,166808,yes
can_contain_liquid,182970,yes
can_contain_liquid,93592,yes
can_contain_liquid,13279,yes
can_contain_liquid,250201,yes
can_contain_liquid,86634,yes
can_contain_liquid,4624,yes
can_contain_liquid,127668,yes
can_contain_liquid,189623,no
can_contain_liquid,290352,yes
can_contain_liquid,12691,yes
can_contain_liquid,292437,yes
can_contain_liquid,22200,yes
can_contain_liquid,199931,yes
can_contain_liquid,198211,yes
can_contain_liquid,257634,no
can_contain_liquid,172223,no
can_contain_liquid,108061,yes
can_contain_liquid,56707,yes
can_contain_liquid,282748,yes
can_contain_liquid,288201,yes
can_contain_liquid,213722,yes
can_contain_liquid,70921,no
can_contain_liquid,217001,no
can_contain_liquid,181160,yes
can_contain_liquid,157540,no
can_contain_liquid,120510,yes
can_contain_liquid,2715,no
can_contain_liquid,119892,yes
can_contain_liquid,231517,yes
can_contain_liquid,275844,no
can_contain_liquid,130719,yes
can_contain_liquid,232496,yes
can_contain_liquid,41466,no
can_contain_liquid,18256,yes
can_contain_liquid,34546,no
can_contain_liquid,250996,yes
can_contain_liquid,92302,no
can_contain_liquid,297840,yes
can_contain_liquid,294413,yes
can_contain_liquid,250990,yes
can_contain_liquid,73199,yes
can_contain_liquid,254039,yes
can_contain_liquid,146976,no
can_contain_liquid,28970,yes
can_contain_liquid,246040,yes
can_contain_liquid,216563,no
can_contain_liquid,192116,yes
can_contain_liquid,206575,yes
can_contain_liquid,206083,no
can_contain_liquid,188215,no
can_contain_liquid,136431,no
can_contain_liquid,280578,no
can_contain_liquid,286401,no
can_contain_liquid,264334,no
can_contain_liquid,193513,yes
can_contain_liquid,302254,no
can_contain_liquid,252714,no
can_contain_liquid,43862,yes
can_contain_liquid,172330,yes
can_contain_liquid,288884,yes
can_contain_liquid,291124,yes
can_contain_liquid,152152,unknown
can_contain_liquid,150211,yes
can_contain_liquid,74390,yes
can_contain_liquid,146280,no
can_contain_liquid,137324,yes
can_contain_liquid,174168,yes
can_contain_liquid,37189,yes
can_contain_liquid,73095,yes
can_contain_liquid,172408,yes
can_contain_liquid,50419,no
can_contain_liquid,90552,yes
can_contain_liquid,256748,yes
can_contain_liquid,214884,yes
can_contain_liquid,198976,yes
can_contain_liquid,270220,no
can_contain_liquid,132954,yes
can_contain_liquid,183055,no
can_contain_liquid,248406,yes
can_contain_liquid,181381,yes
can_contain_liquid,28971,yes
can_contain_liquid,232628,no
can_contain_liquid,210966,no
can_contain_liquid,105982,no
can_contain_liquid,96838,no
can_contain_liquid,256060,unknown
can_contain_liquid,177708,no
can_contain_liquid,137961,yes
can_contain_liquid,96093,no
can_contain_liquid,87530,no
can_contain_liquid,228057,no
can_contain_liquid,143642,yes
can_contain_liquid,39872,no
can_contain_liquid,61129,no
can_contain_liquid,151538,yes
can_contain_liquid,98425,no
can_contain_liquid,202009,no
can_contain_liquid,220303,yes
can_contain_liquid,281679,yes
can_contain_liquid,293749,no
can_contain_liquid,208819,no
can_contain_liquid,293208,yes
can_contain_liquid,235037,unknown
can_contain_liquid,39211,yes
can_contain_liquid,64886,yes
can_contain_liquid,217081,no
can_contain_liquid,210713,no
can_contain_liquid,70168,no
can_contain_liquid,174742,yes
can_contain_liquid,243069,no
can_contain_liquid,297184,no
can_contain_liquid,214889,no
can_contain_liquid,156948,yes
can_contain_liquid,292527,unknown
can_contain_liquid,58598,no
can_contain_liquid,34484,no
can_contain_liquid,98241,no
can_contain_liquid,267024,yes
can_contain_liquid,86704,no
can_contain_liquid,181144,yes
can_contain_liquid,307262,no
can_contain_liquid,82343,yes
can_contain_liquid,100554,yes
can_contain_liquid,204866,yes
can_contain_liquid,217136,no
can_contain_liquid,198876,yes
can_contain_liquid,129906,yes
can_contain_liquid,127200,yes
can_contain_liquid,184844,yes
can_contain_liquid,70835,no
can_contain_liquid,37607,yes
can_contain_liquid,196434,yes
can_contain_liquid,22655,no
can_contain_liquid,293615,no
can_contain_liquid,223949,yes
can_contain_liquid,91895,yes
can_contain_liquid,285296,no
can_contain_liquid,171442,yes
can_contain_liquid,194939,yes
can_contain_liquid,3542,yes
can_contain_liquid,290313,no
can_contain_liquid,93392,no
can_contain_liquid,171318,no
can_contain_liquid,275471,no
can_contain_liquid,216121,yes
can_contain_liquid,63540,yes
can_contain_liquid,157063,yes
can_contain_liquid,297939,yes
can_contain_liquid,206600,no
can_contain_liquid,184234,yes
can_contain_liquid,36733,yes
can_contain_liquid,39616,no
can_contain_liquid,189022,no
can_contain_liquid,235613,yes
can_contain_liquid,194941,yes
can_contain_liquid,235286,yes
can_contain_liquid,68768,yes
can_contain_liquid,87089,yes
can_contain_liquid,166808,no
can_contain_liquid,182970,no
can_contain_liquid,93592,unknown
can_contain_liquid,13279,no
can_contain_liquid,250201,yes
can_contain_liquid,86634,yes
can_contain_liquid,4624,yes
can_contain_liquid,127668,yes
can_contain_liquid,189623,no
can_contain_liquid,290352,yes
can_contain_liquid,12691,yes
can_contain_liquid,292437,yes
can_contain_liquid,22200,unknown
can_contain_liquid,199931,yes
can_contain_liquid,198211,unknown
can_contain_liquid,257634,no
can_contain_liquid,172223,no
can_contain_liquid,108061,yes
can_contain_liquid,56707,yes
can_contain_liquid,282748,yes
can_contain_liquid,288201,no
can_contain_liquid,213722,yes
can_contain_liquid,70921,no
can_contain_liquid,217001,no
can_contain_liquid,181160,yes
can_contain_liquid,157540,yes
can_contain_liquid,120510,yes
can_contain_liquid,2715,no
can_contain_liquid,119892,yes
can_contain_liquid,231517,no
can_contain_liquid,275844,no
can_contain_liquid,130719,yes
can_contain_liquid,232496,yes
can_contain_liquid,41466,no
can_contain_liquid,18256,yes
can_contain_liquid,34546,no
can_contain_liquid,250996,yes
can_contain_liquid,92302,no
can_contain_liquid,297840,yes
can_contain_liquid,294413,yes
can_contain_liquid,250990,yes
can_contain_liquid,73199,no
can_contain_liquid,254039,yes
can_contain_liquid,171890,no
can_contain_liquid,138562,no
can_contain_liquid,242710,no
can_contain_liquid,206322,unknown
can_contain_liquid,23279,no
can_contain_liquid,86639,no
can_contain_liquid,25319,yes
can_contain_liquid,196497,no
can_contain_liquid,90584,no
can_contain_liquid,217480,no
can_contain_liquid,114567,no
can_contain_liquid,8359,no
can_contain_liquid,113814,no
can_contain_liquid,136595,no
can_contain_liquid,265547,no
can_contain_liquid,27538,no
can_contain_liquid,122242,no
can_contain_liquid,219871,no
can_contain_liquid,191342,no
can_contain_liquid,103531,no
can_contain_liquid,238017,no
can_contain_liquid,261755,no
can_contain_liquid,286045,unknown
can_contain_liquid,29080,unknown
can_contain_liquid,217236,yes
can_contain_liquid,213623,no
can_contain_liquid,24811,unknown
can_contain_liquid,107171,no
can_contain_liquid,151815,no
can_contain_liquid,280315,no
can_contain_liquid,91434,yes
can_contain_liquid,216539,no
can_contain_liquid,308586,no
can_contain_liquid,171421,yes
can_contain_liquid,169695,no
can_contain_liquid,292491,no
can_contain_liquid,176319,no
can_contain_liquid,135913,yes
can_contain_liquid,266967,yes
can_contain_liquid,288163,no
can_contain_liquid,203218,unknown
can_contain_liquid,215834,no
can_contain_liquid,225573,no
can_contain_liquid,230278,no
can_contain_liquid,110549,yes
can_contain_liquid,115397,no
can_contain_liquid,41609,yes
can_contain_liquid,186352,no
can_contain_liquid,293646,yes
can_contain_liquid,217453,yes
can_contain_liquid,40951,yes
can_contain_liquid,111248,no
can_contain_liquid,181940,no
can_contain_liquid,86600,no
can_contain_liquid,242075,no
can_contain_liquid,150114,yes
can_contain_liquid,19768,no
can_contain_liquid,185815,yes
can_contain_liquid,70743,no
can_contain_liquid,266810,no
can_contain_liquid,142719,yes
can_contain_liquid,222784,no
can_contain_liquid,29616,yes
can_contain_liquid,261825,no
can_contain_liquid,250271,no
can_contain_liquid,230991,yes
can_contain_liquid,261693,yes
can_contain_liquid,261417,no
can_contain_liquid,154466,yes
can_contain_liquid,47776,no
can_contain_liquid,308209,yes
can_contain_liquid,266432,no
can_contain_liquid,237998,yes
can_contain_liquid,65467,yes
can_contain_liquid,293688,no
can_contain_liquid,89862,unknown
can_contain_liquid,284643,yes
can_contain_liquid,52495,yes
can_contain_liquid,233570,yes
can_contain_liquid,121970,no
can_contain_liquid,79516,no
can_contain_liquid,196536,no
can_contain_liquid,176222,unknown
can_contain_liquid,201031,no
can_contain_liquid,252763,yes
can_contain_liquid,65200,yes
can_contain_liquid,267164,no
can_contain_liquid,132023,yes
can_contain_liquid,162454,no
can_contain_liquid,159299,no
can_contain_liquid,20598,no
can_contain_liquid,18431,unknown
can_contain_liquid,14171,yes
can_contain_liquid,167514,no
can_contain_liquid,194311,unknown
can_contain_liquid,252774,no
can_contain_liquid,186821,no
can_contain_liquid,36485,unknown
can_contain_liquid,267445,no
can_contain_liquid,20115,yes
can_contain_liquid,150704,no
can_contain_liquid,31109,no
can_contain_liquid,192097,no
can_contain_liquid,83646,no
can_contain_liquid,6511,no
can_contain_liquid,122380,yes
can_contain_liquid,271810,no
can_contain_liquid,208846,no
can_contain_liquid,86605,yes
can_contain_liquid,83362,yes
can_contain_liquid,149233,no
can_contain_liquid,106157,yes
can_contain_liquid,36276,no
can_contain_liquid,111489,yes
can_contain_liquid,243343,no
can_contain_liquid,309176,no
can_contain_liquid,261323,yes
can_contain_liquid,72188,yes
can_contain_liquid,294003,no
can_contain_liquid,277518,yes
can_contain_liquid,304523,yes
can_contain_liquid,156143,no
can_contain_liquid,257501,no
can_contain_liquid,20507,yes
can_contain_liquid,15882,unknown
can_contain_liquid,260829,no
can_contain_liquid,309006,no
can_contain_liquid,92866,no
can_contain_liquid,273172,no
can_contain_liquid,188950,no
can_contain_liquid,192573,yes
can_contain_liquid,68516,no
can_contain_liquid,276715,yes
can_contain_liquid,57224,yes
can_contain_liquid,201776,no
can_contain_liquid,279461,no
can_contain_liquid,249565,no
can_contain_liquid,267020,yes
can_contain_liquid,235065,unknown
can_contain_liquid,266365,no
can_contain_liquid,63249,unknown
can_contain_liquid,274701,yes
can_contain_liquid,153406,no
can_contain_liquid,214076,unknown
can_contain_liquid,250285,yes
can_contain_liquid,40828,yes
can_contain_liquid,89920,yes
can_contain_liquid,280964,unknown
can_contain_liquid,238151,no
can_contain_liquid,295872,no
can_contain_liquid,134057,no
can_contain_liquid,176589,no
can_contain_liquid,89329,no
can_contain_liquid,166887,no
can_contain_liquid,287728,yes
can_contain_liquid,9136,no
can_contain_liquid,86628,no
can_contain_liquid,158156,no
can_contain_liquid,130640,no
can_contain_liquid,171890,yes
can_contain_liquid,138562,no
can_contain_liquid,242710,yes
can_contain_liquid,206322,yes
can_contain_liquid,23279,no
can_contain_liquid,86639,no
can_contain_liquid,25319,yes
can_contain_liquid,196497,yes
can_contain_liquid,90584,no
can_contain_liquid,217480,yes
can_contain_liquid,114567,yes
can_contain_liquid,8359,no
can_contain_liquid,113814,no
can_contain_liquid,136595,no
can_contain_liquid,265547,no
can_contain_liquid,27538,yes
can_contain_liquid,122242,no
can_contain_liquid,219871,yes
can_contain_liquid,191342,no
can_contain_liquid,103531,yes
can_contain_liquid,238017,yes
can_contain_liquid,261755,yes
can_contain_liquid,286045,no
can_contain_liquid,29080,no
can_contain_liquid,217236,yes
can_contain_liquid,213623,no
can_contain_liquid,24811,yes
can_contain_liquid,107171,yes
can_contain_liquid,151815,no
can_contain_liquid,280315,no
can_contain_liquid,91434,yes
can_contain_liquid,216539,no
can_contain_liquid,308586,yes
can_contain_liquid,171421,yes
can_contain_liquid,169695,no
can_contain_liquid,292491,yes
can_contain_liquid,176319,yes
can_contain_liquid,135913,yes
can_contain_liquid,266967,yes
can_contain_liquid,288163,yes
can_contain_liquid,203218,no
can_contain_liquid,215834,yes
can_contain_liquid,225573,yes
can_contain_liquid,230278,yes
can_contain_liquid,110549,yes
can_contain_liquid,115397,no
can_contain_liquid,41609,yes
can_contain_liquid,186352,no
can_contain_liquid,293646,yes
can_contain_liquid,217453,yes
can_contain_liquid,40951,yes
can_contain_liquid,111248,no
can_contain_liquid,181940,no
can_contain_liquid,86600,yes
can_contain_liquid,242075,no
can_contain_liquid,150114,yes
can_contain_liquid,19768,yes
can_contain_liquid,185815,unknown
can_contain_liquid,70743,no
can_contain_liquid,266810,yes
can_contain_liquid,142719,unknown
can_contain_liquid,222784,yes
can_contain_liquid,29616,yes
can_contain_liquid,261825,no
can_contain_liquid,250271,no
can_contain_liquid,230991,yes
can_contain_liquid,261693,yes
can_contain_liquid,261417,no
can_contain_liquid,154466,yes
can_contain_liquid,47776,no
can_contain_liquid,308209,yes
can_contain_liquid,266432,no
can_contain_liquid,237998,yes
can_contain_liquid,65467,yes
can_contain_liquid,293688,no
can_contain_liquid,89862,yes
can_contain_liquid,284643,yes
can_contain_liquid,52495,yes
can_contain_liquid,233570,yes
can_contain_liquid,121970,yes
can_contain_liquid,79516,no
can_contain_liquid,196536,yes
can_contain_liquid,176222,yes
can_contain_liquid,201031,yes
can_contain_liquid,252763,yes
can_contain_liquid,65200,yes
can_contain_liquid,267164,yes
can_contain_liquid,132023,yes
can_contain_liquid,162454,no
can_contain_liquid,159299,yes
can_contain_liquid,20598,no
can_contain_liquid,18431,yes
can_contain_liquid,14171,yes
can_contain_liquid,167514,yes
can_contain_liquid,194311,yes
can_contain_liquid,252774,no
can_contain_liquid,186821,yes
can_contain_liquid,36485,yes
can_contain_liquid,267445,yes
can_contain_liquid,20115,yes
can_contain_liquid,150704,yes
can_contain_liquid,31109,no
can_contain_liquid,192097,yes
can_contain_liquid,83646,no
can_contain_liquid,6511,no
can_contain_liquid,122380,no
can_contain_liquid,271810,no
can_contain_liquid,208846,no
can_contain_liquid,86605,yes
can_contain_liquid,83362,yes
can_contain_liquid,149233,yes
can_contain_liquid,106157,yes
can_contain_liquid,36276,no
can_contain_liquid,111489,yes
can_contain_liquid,243343,no
can_contain_liquid,309176,no
can_contain_liquid,261323,yes
can_contain_liquid,72188,yes
can_contain_liquid,294003,no
can_contain_liquid,277518,yes
can_contain_liquid,304523,yes
can_contain_liquid,156143,yes
can_contain_liquid,257501,yes
can_contain_liquid,20507,yes
can_contain_liquid,15882,unknown
can_contain_liquid,260829,no
can_contain_liquid,309006,no
can_contain_liquid,92866,yes
can_contain_liquid,273172,yes
can_contain_liquid,188950,no
can_contain_liquid,192573,yes
can_contain_liquid,68516,no
can_contain_liquid,276715,yes
can_contain_liquid,57224,yes
can_contain_liquid,201776,no
can_contain_liquid,279461,no
can_contain_liquid,249565,no
can_contain_liquid,267020,yes
can_contain_liquid,235065,yes
can_contain_liquid,266365,yes
can_contain_liquid,63249,unknown
can_contain_liquid,274701,yes
can_contain_liquid,153406,no
can_contain_liquid,214076,yes
can_contain_liquid,250285,yes
can_contain_liquid,40828,yes
can_contain_liquid,89920,yes
can_contain_liquid,280964,yes
can_contain_liquid,238151,yes
can_contain_liquid,295872,yes
can_contain_liquid,134057,no
can_contain_liquid,176589,no
can_contain_liquid,89329,no
can_contain_liquid,166887,no
can_contain_liquid,287728,yes
can_contain_liquid,9136,no
can_contain_liquid,86628,no
can_contain_liquid,158156,no
can_contain_liquid,130640,yes
can_contain_liquid,146976,no
can_contain_liquid,28970,yes
can_contain_liquid,246040,yes
can_contain_liquid,216563,no
can_contain_liquid,192116,no
can_contain_liquid,206575,yes
can_contain_liquid,206083,no
can_contain_liquid,188215,no
can_contain_liquid,136431,no
can_contain_liquid,280578,no
can_contain_liquid,286401,yes
can_contain_liquid,264334,no
can_contain_liquid,193513,yes
can_contain_liquid,302254,no
can_contain_liquid,252714,no
can_contain_liquid,43862,yes
can_contain_liquid,172330,yes
can_contain_liquid,288884,yes
can_contain_liquid,291124,yes
can_contain_liquid,152152,unknown
can_contain_liquid,150211,no
can_contain_liquid,74390,yes
can_contain_liquid,146280,no
can_contain_liquid,137324,yes
can_contain_liquid,174168,yes
can_contain_liquid,37189,yes
can_contain_liquid,73095,yes
can_contain_liquid,172408,yes
can_contain_liquid,50419,no
can_contain_liquid,90552,yes
can_contain_liquid,256748,yes
can_contain_liquid,214884,yes
can_contain_liquid,198976,yes
can_contain_liquid,270220,no
can_contain_liquid,132954,no
can_contain_liquid,183055,no
can_contain_liquid,248406,yes
can_contain_liquid,181381,yes
can_contain_liquid,28971,yes
can_contain_liquid,232628,yes
can_contain_liquid,210966,no
can_contain_liquid,105982,no
can_contain_liquid,96838,no
can_contain_liquid,256060,yes
can_contain_liquid,177708,no
can_contain_liquid,137961,yes
can_contain_liquid,96093,no
can_contain_liquid,87530,no
can_contain_liquid,228057,no
can_contain_liquid,143642,yes
can_contain_liquid,39872,no
can_contain_liquid,61129,no
can_contain_liquid,151538,yes
can_contain_liquid,98425,no
can_contain_liquid,202009,no
can_contain_liquid,220303,yes
can_contain_liquid,281679,no
can_contain_liquid,293749,no
can_contain_liquid,208819,no
can_contain_liquid,293208,yes
can_contain_liquid,235037,unknown
can_contain_liquid,39211,yes
can_contain_liquid,64886,yes
can_contain_liquid,217081,no
can_contain_liquid,210713,no
can_contain_liquid,70168,no
can_contain_liquid,174742,yes
can_contain_liquid,243069,no
can_contain_liquid,297184,no
can_contain_liquid,214889,no
can_contain_liquid,156948,yes
can_contain_liquid,292527,yes
can_contain_liquid,58598,no
can_contain_liquid,34484,no
can_contain_liquid,98241,no
can_contain_liquid,267024,yes
can_contain_liquid,86704,no
can_contain_liquid,181144,yes
can_contain_liquid,307262,no
can_contain_liquid,82343,yes
can_contain_liquid,100554,yes
can_contain_liquid,204866,yes
can_contain_liquid,217136,no
can_contain_liquid,198876,yes
can_contain_liquid,129906,yes
can_contain_liquid,127200,yes
can_contain_liquid,184844,yes
can_contain_liquid,70835,no
can_contain_liquid,37607,yes
can_contain_liquid,196434,yes
can_contain_liquid,22655,no
can_contain_liquid,293615,no
can_contain_liquid,223949,yes
can_contain_liquid,91895,unknown
can_contain_liquid,285296,no
can_contain_liquid,171442,yes
can_contain_liquid,194939,yes
can_contain_liquid,3542,unknown
can_contain_liquid,290313,no
can_contain_liquid,93392,no
can_contain_liquid,171318,no
can_contain_liquid,275471,no
can_contain_liquid,216121,yes
can_contain_liquid,63540,yes
can_contain_liquid,157063,no
can_contain_liquid,297939,no
can_contain_liquid,206600,no
can_contain_liquid,184234,yes
can_contain_liquid,36733,no
can_contain_liquid,39616,no
can_contain_liquid,189022,no
can_contain_liquid,235613,yes
can_contain_liquid,194941,yes
can_contain_liquid,235286,yes
can_contain_liquid,68768,yes
can_contain_liquid,87089,yes
can_contain_liquid,166808,no
can_contain_liquid,182970,no
can_contain_liquid,93592,unknown
can_contain_liquid,13279,no
can_contain_liquid,250201,yes
can_contain_liquid,86634,yes
can_contain_liquid,4624,yes
can_contain_liquid,127668,yes
can_contain_liquid,189623,no
can_contain_liquid,290352,yes
can_contain_liquid,12691,no
can_contain_liquid,292437,yes
can_contain_liquid,22200,yes
can_contain_liquid,199931,yes
can_contain_liquid,198211,no
can_contain_liquid,257634,no
can_contain_liquid,172223,no
can_contain_liquid,108061,no
can_contain_liquid,56707,yes
can_contain_liquid,282748,yes
can_contain_liquid,288201,no
can_contain_liquid,213722,yes
can_contain_liquid,70921,no
can_contain_liquid,217001,no
can_contain_liquid,181160,yes
can_contain_liquid,157540,yes
can_contain_liquid,120510,no
can_contain_liquid,2715,no
can_contain_liquid,119892,yes
can_contain_liquid,231517,no
can_contain_liquid,275844,no
can_contain_liquid,130719,no
can_contain_liquid,232496,no
can_contain_liquid,41466,no
can_contain_liquid,18256,yes
can_contain_liquid,34546,no
can_contain_liquid,250996,yes
can_contain_liquid,92302,no
can_contain_liquid,297840,yes
can_contain_liquid,294413,no
