property,annotation_id_0,response
contents,28971,unknown
contents,280315,nothing
contents,198234,unknown
contents,48943,unknown
contents,220691,water
contents,132023,nothing
contents,20891,unknown
contents,3542,flower
contents,248184,liquor
contents,307470,unknown
contents,70835,nothing
contents,256122,nothing
contents,23279,food
contents,138515,unknown
contents,245256,unknown
contents,224673,unknown
contents,12691,unknown
contents,29616,unknown
contents,250201,oil
contents,221131,nothing
contents,6711,water
contents,244212,unknown
contents,72053,juice
contents,52598,oil
contents,217471,nothing
contents,230510,nothing
contents,110549,plant
contents,281679,flower
contents,73199,nothing
contents,124172,unknown
contents,24811,coffee
contents,177708,spoon
contents,242075,unknown
contents,18256,unknown
contents,235286,crayons
contents,153406,nothing
contents,186252,nothing
contents,14171,plant
contents,166808,nothing
contents,199931,unknown
contents,278456,nothing
contents,292488,unknown
contents,222784,food
contents,111248,spoon
contents,213722,food
contents,216563,nothing
contents,171890,unknown
contents,287252,nothing
contents,96838,food
contents,288315,water
contents,229420,unknown
contents,187148,unknown
contents,98425,nothing
contents,245035,unknown
contents,221189,food
contents,201796,unknown
contents,250285,food
contents,39849,nothing
contents,181144,candle
contents,52675,nothing
contents,39140,nothing
contents,2715,spoon
contents,182540,unknown
contents,193430,nothing
contents,80192,unknown
contents,127200,unknown
contents,102625,nothing
contents,301774,unknown
contents,90668,water
contents,55017,unknown
contents,142921,nothing
contents,297840,nothing
contents,208819,nothing
contents,113814,nothing
contents,80813,unknown
contents,19768,food
contents,185815,unknown
contents,250470,nothing
contents,162454,food
contents,270220,nothing
contents,236743,unknown
contents,20507,food
contents,201776,food
contents,255152,nothing
contents,66205,nothing
contents,237183,unknown
contents,201031,unknown
contents,152152,unknown
contents,20597,unknown
contents,255738,unknown
contents,50419,nothing
contents,110081,unknown
contents,239105,nothing
contents,284690,food
contents,86605,food
contents,198876,unknown
contents,220724,wine
contents,34546,food
contents,34484,nothing
contents,44840,unknown
contents,172223,nothing
contents,103531,food
contents,266967,unknown
contents,9107,oil
contents,265400,unknown
contents,254039,food
contents,118925,nothing
contents,146199,water
contents,210403,nothing
contents,181160,nothing
contents,137961,unknown
contents,303711,unknown
contents,267525,nothing
contents,231715,unknown
contents,248187,nothing
contents,286401,unknown
contents,301531,unknown
contents,32875,nothing
contents,68753,unknown
contents,52495,flower
contents,232628,unknown
contents,54668,nothing
contents,238017,food
contents,256748,unknown
contents,37620,unknown
contents,55016,unknown
contents,20005,unknown
contents,198211,bottles
contents,166332,unknown
contents,36485,unknown
contents,291124,flower
contents,39211,nothing
contents,213623,nothing
contents,43857,unknown
contents,37607,unknown
contents,52452,food
contents,188304,unknown
contents,237527,unknown
contents,192749,unknown
contents,176319,unknown
contents,235613,plant
contents,185969,unknown
contents,190657,water
contents,150564,water
contents,288201,unknown
contents,216539,utensil
contents,146976,mug
contents,243510,nothing
contents,276715,unknown
contents,288163,unknown
contents,218970,unknown
contents,7785,nothing
contents,151815,nothing
contents,184970,unknown
contents,56660,soap
contents,39872,fork
contents,183055,food
contents,267024,knife
contents,267164,nothing
contents,168497,food
contents,225573,plant
contents,6511,food
contents,166887,nothing
contents,56707,unknown
contents,241364,nothing
contents,290352,unknown
contents,279937,water
contents,2951,nothing
contents,307262,nothing
contents,31109,nothing
contents,298025,unknown
contents,43093,unknown
contents,147633,nothing
contents,175021,unknown
contents,304523,plant
contents,182970,food
contents,127668,nothing
