property,annotation_id_0,annotation_id_1,response
deformability,180895,41924,right
deformability,147817,143642,left
deformability,285365,245329,equal
deformability,225573,195810,right
deformability,74973,148818,equal
deformability,305039,197328,equal
deformability,233449,206892,right
deformability,8930,148915,left
deformability,132662,250470,equal
deformability,276524,77340,equal
deformability,272366,275844,right
deformability,149543,97912,equal
deformability,62481,235721,right
deformability,260453,138330,right
deformability,184563,158837,equal
deformability,268541,192288,unclear
deformability,215250,268289,unclear
deformability,35386,199165,left
deformability,106227,298745,equal
deformability,141468,277728,equal
deformability,59880,127200,equal
deformability,62481,231715,equal
deformability,28452,110151,equal
deformability,56508,293646,left
deformability,85547,274665,equal
deformability,297959,115274,right
deformability,58361,202765,right
deformability,195107,158186,left
deformability,120596,57483,right
deformability,246864,275844,left
deformability,145154,188774,equal
deformability,108620,121438,right
deformability,147680,98147,right
deformability,62230,150211,right
deformability,180035,124172,equal
deformability,183507,52173,left
deformability,26467,295025,left
deformability,301418,252373,equal
deformability,49565,49555,right
deformability,153444,52200,equal
deformability,27871,216369,right
deformability,180495,201776,equal
deformability,53019,74802,equal
deformability,176317,121328,left
deformability,303683,100186,right
deformability,210966,265711,equal
deformability,287496,233570,right
deformability,24241,162061,right
deformability,255554,132427,right
deformability,19768,274701,equal
deformability,97896,92302,left
deformability,65595,67998,equal
deformability,249374,172408,right
deformability,151910,14395,left
deformability,139093,9560,equal
deformability,56023,142993,left
deformability,82566,300347,equal
deformability,22499,168221,equal
deformability,210222,188532,equal
deformability,263422,219871,right
deformability,86456,287728,left
deformability,55405,262147,left
deformability,42872,12749,equal
deformability,239708,273042,left
deformability,102579,257500,equal
deformability,153309,101533,left
deformability,307861,271094,right
deformability,58169,269012,left
deformability,55814,150517,left
deformability,19270,144264,left
deformability,231450,287496,left
deformability,15882,233570,equal
deformability,49124,255324,left
deformability,252696,307034,left
deformability,171318,261219,right
deformability,52452,194437,left
deformability,180768,69264,left
deformability,153309,108895,equal
deformability,140333,250996,equal
deformability,104950,202765,right
deformability,136431,150555,left
deformability,285283,148915,equal
deformability,42986,62230,equal
deformability,56707,267024,equal
deformability,113110,100938,left
deformability,292488,208230,equal
deformability,254240,290532,left
deformability,18789,25069,right
deformability,153704,216774,left
deformability,290437,162230,equal
deformability,18916,90965,equal
deformability,256387,157803,left
deformability,110243,302923,right
deformability,33296,131537,left
deformability,48760,222332,equal
deformability,172343,286091,left
deformability,173304,200129,equal
deformability,64704,258016,right
deformability,261380,280209,equal
deformability,220167,81631,right
deformability,127186,113707,equal
deformability,256586,201498,left
deformability,254866,40555,left
deformability,20976,16872,right
deformability,278520,144736,equal
deformability,180051,211780,equal
deformability,26329,255535,equal
deformability,274095,199189,left
deformability,119736,215577,right
deformability,7684,131825,right
deformability,239105,268363,left
deformability,179516,127531,equal
deformability,186474,32875,left
deformability,244759,196937,equal
deformability,30176,266365,left
deformability,287906,185316,right
deformability,213442,179456,left
deformability,126447,105982,right
deformability,108216,269012,left
deformability,101434,72679,right
deformability,187413,127668,equal
deformability,16872,287279,left
deformability,298745,251076,right
deformability,92866,99772,right
deformability,302372,83478,right
deformability,98523,19778,left
deformability,173625,307034,left
deformability,246908,11031,left
deformability,242612,187148,equal
deformability,117910,289645,right
deformability,245074,28452,left
deformability,296133,195651,right
deformability,183507,206147,equal
deformability,158300,56429,right
deformability,264221,103849,right
deformability,89166,227595,right
deformability,180658,2715,equal
deformability,4536,272205,equal
deformability,60299,119485,equal
deformability,299976,72679,equal
deformability,291911,187137,equal
deformability,147605,7277,left
deformability,147190,79456,equal
deformability,140408,52375,left
deformability,129906,282667,right
deformability,261693,200320,right
deformability,188079,39140,left
deformability,183646,178241,left
deformability,293445,24043,right
deformability,180658,53610,left
deformability,164906,119977,right
deformability,111726,135395,right
deformability,19270,266920,equal
deformability,55814,88109,right
deformability,64704,275550,left
deformability,175105,270220,left
deformability,36276,250002,right
deformability,251829,217001,right
deformability,121950,12749,left
deformability,165658,108620,equal
deformability,89920,172408,equal
deformability,136925,292527,equal
deformability,45401,294003,right
deformability,188539,181686,left
deformability,28452,76289,equal
deformability,22023,230780,right
deformability,1435,6737,left
deformability,139312,247268,right
deformability,244293,103010,right
deformability,171264,93660,equal
deformability,287906,100186,right
deformability,15882,210713,equal
deformability,88321,150496,equal
deformability,113365,197058,right
deformability,7785,301384,right
deformability,216709,297255,left
deformability,53528,113920,equal
deformability,213885,4182,right
deformability,132427,293208,left
deformability,276524,309037,equal
deformability,178732,98147,left
deformability,132202,218970,left
deformability,180800,181686,equal
deformability,198611,267879,equal
deformability,260813,182631,equal
deformability,53610,121660,equal
deformability,20479,107656,left
deformability,180369,300864,left
deformability,97855,126896,left
deformability,37224,279149,left
deformability,237502,73426,left
deformability,219000,209676,left
deformability,55476,284517,right
deformability,199189,182645,right
