property,annotation_id_0,annotation_id_1,response
fragility,300836,44803,equal
fragility,289459,179600,unclear
fragility,287906,308681,left
fragility,214784,164974,right
fragility,305039,197328,equal
fragility,280844,305422,right
fragility,64651,159422,right
fragility,151592,147251,right
fragility,132662,250470,right
fragility,128631,118447,left
fragility,267838,171421,right
fragility,204158,111248,right
fragility,149543,97912,equal
fragility,208740,287252,left
fragility,87090,265711,unclear
fragility,135765,191872,right
fragility,239708,123391,unclear
fragility,248019,308681,right
fragility,51178,188774,right
fragility,2951,100943,right
fragility,133062,174800,right
fragility,265710,214492,unclear
fragility,28452,110151,equal
fragility,225589,28971,right
fragility,85547,274665,equal
fragility,64043,287185,unclear
fragility,280578,40220,left
fragility,57868,126205,unclear
fragility,170439,9560,unclear
fragility,177665,32370,unclear
fragility,180369,217081,right
fragility,184844,57128,left
fragility,172884,161517,right
fragility,101321,188774,right
fragility,175323,18431,right
fragility,238017,270188,left
fragility,308495,274665,left
fragility,301418,252373,equal
fragility,250271,68768,left
fragility,173431,13970,unclear
fragility,299794,27000,left
fragility,161517,193513,left
fragility,129668,218970,right
fragility,53019,74802,equal
fragility,91750,117820,right
fragility,216561,273490,left
fragility,235754,82343,right
fragility,19768,274701,equal
fragility,254798,87610,unclear
fragility,65595,67998,equal
fragility,268490,297317,unclear
fragility,165108,98523,unclear
fragility,139093,9560,equal
fragility,266920,284643,left
fragility,82566,300347,equal
fragility,289460,2941,right
fragility,22499,168221,equal
fragility,210222,188532,equal
fragility,263171,227107,unclear
fragility,149610,67381,left
fragility,49565,130476,right
fragility,130354,139651,left
fragility,50705,172649,unclear
fragility,102579,257500,equal
fragility,288119,150704,unclear
fragility,186333,217471,right
fragility,93142,4793,right
fragility,67189,57483,left
fragility,163249,288201,right
fragility,156716,20115,right
fragility,15882,233570,equal
fragility,215319,172469,left
fragility,262694,115399,unclear
fragility,20479,276213,unclear
fragility,12791,91263,right
fragility,153309,108895,right
fragility,204656,276213,left
fragility,124247,42872,right
fragility,154976,57483,unclear
fragility,93406,301802,left
fragility,172223,95042,left
fragility,56707,267024,equal
fragility,182645,229227,right
fragility,26566,245643,right
fragility,292488,208230,equal
fragility,289459,65058,right
fragility,236835,178884,unclear
fragility,220605,23285,unclear
fragility,18916,90965,equal
fragility,160785,298745,left
fragility,227040,77513,left
fragility,68356,149008,unclear
fragility,48760,222332,equal
fragility,144397,87853,right
fragility,185610,51784,left
fragility,16915,7141,left
fragility,138767,253904,unclear
fragility,89166,135832,unclear
fragility,127186,113707,equal
fragility,42819,52173,unclear
fragility,73199,12132,unclear
fragility,155450,12791,unclear
fragility,243881,253020,unclear
fragility,278520,144736,equal
fragility,248184,215885,left
fragility,18555,65480,unclear
fragility,26329,255535,equal
fragility,136962,207703,left
fragility,40485,273042,left
fragility,51671,197767,right
fragility,19269,173450,unclear
fragility,300667,58169,unclear
fragility,82538,72679,right
fragility,244759,196937,equal
fragility,20976,121253,right
fragility,78774,235037,right
fragility,174048,4536,right
fragility,255738,264755,left
fragility,163249,300864,unclear
fragility,106227,151109,right
fragility,266365,118553,left
fragility,6711,26186,left
fragility,66527,56707,left
fragility,140448,215885,right
fragility,273042,218722,left
fragility,212310,79547,unclear
fragility,110763,93976,unclear
fragility,242612,187148,equal
fragility,98974,155606,right
fragility,301633,20258,right
fragility,76249,113544,left
fragility,144608,119977,unclear
fragility,183507,206147,equal
fragility,122242,65595,left
fragility,137812,162642,unclear
fragility,145795,158471,left
fragility,4536,272205,equal
fragility,60299,119485,equal
fragility,299976,72679,equal
fragility,291911,187137,equal
fragility,298615,168227,unclear
fragility,147190,79456,equal
fragility,68299,224895,unclear
fragility,11473,113707,right
fragility,63632,66428,left
fragility,37227,178562,unclear
fragility,130723,220799,unclear
fragility,250134,25949,equal
fragility,197767,232049,left
fragility,249374,230033,right
fragility,19270,266920,equal
fragility,284832,261712,left
fragility,120823,282992,right
fragility,11566,273042,right
fragility,307619,201796,right
fragility,209093,56508,unclear
fragility,260371,193044,right
fragility,89920,172408,equal
fragility,44803,220724,right
fragility,75997,179121,right
fragility,29553,121797,right
fragility,28452,76289,equal
fragility,204551,232496,right
fragility,231412,261712,unclear
fragility,153406,88708,left
fragility,146293,100938,left
fragility,171264,93660,equal
fragility,15882,210713,equal
fragility,88321,150496,equal
fragility,173431,165396,right
fragility,95042,70435,unclear
fragility,53528,113920,equal
fragility,287151,276970,unclear
fragility,240179,251586,right
fragility,276524,309037,equal
fragility,82375,39111,left
fragility,156120,42713,unclear
fragility,180800,181686,equal
fragility,220167,120276,left
fragility,260813,182631,equal
fragility,53610,121660,equal
fragility,143451,121660,unclear
fragility,193793,200690,left
fragility,145516,50722,unclear
fragility,164906,300445,right
fragility,206883,135012,left
fragility,223307,110081,right
fragility,205880,282954,right
fragility,114142,198334,unclear
fragility,142415,134791,right
fragility,280964,288884,right
fragility,146201,98147,left
fragility,18144,63990,left
fragility,15301,110980,left
fragility,123139,26217,equal
fragility,247511,208215,left
fragility,26136,235721,left
fragility,124247,296549,unclear
fragility,292802,215834,right
fragility,105055,99585,equal
fragility,245478,59354,right
fragility,22672,241956,right
fragility,200690,169542,equal
fragility,278519,280142,left
fragility,43093,137936,equal
fragility,213136,20204,right
fragility,197707,124172,right
fragility,151538,87615,left
fragility,300836,44803,equal
fragility,289459,179600,right
fragility,287906,308681,left
fragility,214784,164974,right
fragility,305039,197328,equal
fragility,280844,305422,right
fragility,64651,159422,left
fragility,151592,147251,right
fragility,132662,250470,equal
fragility,128631,118447,equal
fragility,267838,171421,equal
fragility,204158,111248,right
fragility,149543,97912,equal
fragility,208740,287252,left
fragility,87090,265711,right
fragility,135765,191872,right
fragility,239708,123391,left
fragility,248019,308681,right
fragility,51178,188774,right
fragility,2951,100943,right
fragility,133062,174800,left
fragility,265710,214492,left
fragility,28452,110151,equal
fragility,225589,28971,right
fragility,85547,274665,equal
fragility,64043,287185,left
fragility,280578,40220,left
fragility,57868,126205,left
fragility,170439,9560,right
fragility,177665,32370,right
fragility,180369,217081,right
fragility,184844,57128,left
fragility,172884,161517,right
fragility,101321,188774,right
fragility,175323,18431,left
fragility,238017,270188,left
fragility,308495,274665,right
fragility,301418,252373,equal
fragility,250271,68768,left
fragility,173431,13970,left
fragility,299794,27000,left
fragility,161517,193513,left
fragility,129668,218970,right
fragility,53019,74802,equal
fragility,91750,117820,right
fragility,216561,273490,right
fragility,235754,82343,right
fragility,19768,274701,equal
fragility,254798,87610,left
fragility,65595,67998,equal
