property,annotation_id_0,response
is_sealed,127200,yes
is_sealed,292488,yes
is_sealed,148689,yes
is_sealed,219369,yes
is_sealed,247400,yes
is_sealed,93592,unknown
is_sealed,250285,no
is_sealed,147633,yes
is_sealed,174742,yes
is_sealed,234376,no
is_sealed,176589,yes
is_sealed,111489,no
is_sealed,197767,unknown
is_sealed,292221,yes
is_sealed,127186,yes
is_sealed,194311,yes
is_sealed,66275,yes
is_sealed,255738,unknown
is_sealed,191511,yes
is_sealed,52598,yes
is_sealed,251829,yes
is_sealed,56707,unknown
is_sealed,187148,yes
is_sealed,99585,yes
is_sealed,185815,unknown
is_sealed,305891,yes
is_sealed,287906,yes
is_sealed,127668,yes
is_sealed,206147,unknown
is_sealed,5575,yes
is_sealed,221189,yes
is_sealed,284643,unknown
is_sealed,221163,yes
is_sealed,208230,no
is_sealed,256060,unknown
is_sealed,172408,yes
is_sealed,89920,yes
is_sealed,41609,yes
is_sealed,174315,yes
is_sealed,201031,yes
is_sealed,82343,yes
is_sealed,266967,yes
is_sealed,282748,no
is_sealed,301924,yes
is_sealed,250201,yes
is_sealed,242612,yes
is_sealed,206322,unknown
is_sealed,6711,no
is_sealed,126758,yes
is_sealed,102204,yes
is_sealed,67686,yes
is_sealed,5296,unknown
is_sealed,205601,yes
is_sealed,224673,yes
is_sealed,198234,unknown
is_sealed,192749,no
is_sealed,93108,yes
is_sealed,176319,yes
is_sealed,113707,yes
is_sealed,93142,yes
is_sealed,226566,yes
is_sealed,196434,unknown
is_sealed,216121,yes
is_sealed,216774,yes
is_sealed,108061,yes
is_sealed,24811,unknown
is_sealed,20258,yes
is_sealed,246040,yes
is_sealed,91895,yes
is_sealed,176222,yes
is_sealed,105578,yes
is_sealed,161300,yes
is_sealed,213722,yes
is_sealed,232628,unknown
is_sealed,64704,yes
is_sealed,7684,yes
is_sealed,48760,yes
is_sealed,20115,yes
is_sealed,56660,yes
is_sealed,266920,yes
is_sealed,101989,yes
is_sealed,215834,yes
is_sealed,63249,unknown
is_sealed,288315,yes
is_sealed,38074,yes
is_sealed,22200,yes
is_sealed,210713,no
is_sealed,288884,unknown
is_sealed,197707,yes
is_sealed,168497,unknown
is_sealed,219871,yes
is_sealed,89862,yes
is_sealed,181144,yes
is_sealed,194807,unknown
is_sealed,59354,yes
is_sealed,86605,yes
is_sealed,257838,yes
is_sealed,198204,unknown
is_sealed,244212,yes
is_sealed,308586,yes
is_sealed,127669,yes
is_sealed,220303,yes
is_sealed,55017,yes
is_sealed,121797,yes
is_sealed,284690,yes
is_sealed,267020,yes
is_sealed,80813,yes
is_sealed,303711,yes
is_sealed,199931,yes
is_sealed,235037,unknown
is_sealed,239105,unknown
is_sealed,248184,yes
is_sealed,151538,yes
is_sealed,56728,yes
is_sealed,197779,yes
is_sealed,174201,yes
is_sealed,18431,no
is_sealed,102579,yes
is_sealed,63632,unknown
is_sealed,298025,yes
is_sealed,194941,yes
is_sealed,28970,yes
is_sealed,235065,yes
is_sealed,307278,yes
is_sealed,229420,yes
is_sealed,104950,yes
is_sealed,255152,yes
is_sealed,235286,yes
is_sealed,130515,yes
is_sealed,12691,yes
is_sealed,239723,no
is_sealed,190657,yes
is_sealed,29985,yes
is_sealed,40828,yes
is_sealed,183507,yes
is_sealed,73095,unknown
is_sealed,37607,no
is_sealed,233570,yes
is_sealed,150496,yes
is_sealed,15882,yes
is_sealed,151054,yes
is_sealed,29616,yes
is_sealed,192573,no
is_sealed,152152,yes
is_sealed,226609,yes
is_sealed,268363,unknown
is_sealed,245035,yes
is_sealed,292545,yes
is_sealed,150704,no
is_sealed,303683,yes
is_sealed,301531,yes
is_sealed,135913,yes
is_sealed,280964,no
is_sealed,20204,unknown
is_sealed,130719,yes
is_sealed,19270,yes
is_sealed,65200,yes
is_sealed,193513,yes
is_sealed,181160,yes
is_sealed,222332,yes
is_sealed,242075,yes
is_sealed,83362,yes
is_sealed,292527,yes
is_sealed,288163,yes
is_sealed,127200,yes
is_sealed,292488,yes
is_sealed,148689,yes
is_sealed,219369,yes
is_sealed,247400,yes
is_sealed,93592,yes
is_sealed,250285,no
is_sealed,147633,yes
is_sealed,174742,yes
is_sealed,234376,yes
is_sealed,176589,no
is_sealed,111489,no
is_sealed,197767,yes
is_sealed,292221,yes
is_sealed,127186,yes
is_sealed,194311,unknown
is_sealed,66275,yes
is_sealed,255738,unknown
is_sealed,191511,yes
is_sealed,52598,yes
is_sealed,251829,yes
is_sealed,56707,yes
is_sealed,187148,yes
is_sealed,99585,yes
is_sealed,185815,no
is_sealed,305891,yes
is_sealed,287906,yes
is_sealed,127668,yes
is_sealed,206147,yes
is_sealed,5575,yes
is_sealed,221189,yes
is_sealed,284643,unknown
is_sealed,221163,yes
is_sealed,208230,yes
is_sealed,256060,yes
is_sealed,172408,yes
is_sealed,89920,yes
is_sealed,41609,yes
is_sealed,174315,yes
is_sealed,201031,yes
is_sealed,82343,yes
is_sealed,266967,yes
is_sealed,282748,no
is_sealed,301924,yes
is_sealed,250201,yes
is_sealed,242612,yes
is_sealed,206322,yes
is_sealed,6711,yes
is_sealed,126758,yes
is_sealed,102204,yes
is_sealed,67686,yes
is_sealed,5296,yes
is_sealed,205601,yes
is_sealed,224673,yes
is_sealed,198234,unknown
is_sealed,192749,yes
is_sealed,93108,yes
is_sealed,176319,yes
is_sealed,113707,yes
is_sealed,93142,yes
is_sealed,226566,yes
is_sealed,196434,no
is_sealed,216121,yes
is_sealed,216774,yes
is_sealed,108061,yes
is_sealed,24811,yes
is_sealed,20258,yes
is_sealed,246040,yes
is_sealed,91895,yes
is_sealed,176222,yes
is_sealed,105578,yes
is_sealed,161300,yes
is_sealed,213722,yes
is_sealed,232628,yes
is_sealed,64704,yes
is_sealed,7684,yes
is_sealed,48760,yes
is_sealed,20115,yes
is_sealed,56660,yes
is_sealed,266920,yes
is_sealed,101989,yes
is_sealed,215834,yes
is_sealed,63249,unknown
is_sealed,288315,yes
is_sealed,38074,yes
is_sealed,22200,yes
is_sealed,210713,no
is_sealed,288884,unknown
is_sealed,197707,yes
is_sealed,168497,yes
is_sealed,219871,yes
is_sealed,89862,yes
is_sealed,181144,yes
is_sealed,194807,yes
is_sealed,59354,yes
is_sealed,86605,yes
is_sealed,257838,yes
is_sealed,198204,yes
is_sealed,244212,yes
is_sealed,308586,yes
is_sealed,127669,yes
is_sealed,220303,yes
is_sealed,55017,yes
is_sealed,121797,yes
is_sealed,284690,yes
is_sealed,267020,yes
is_sealed,80813,yes
is_sealed,303711,yes
is_sealed,199931,yes
is_sealed,235037,unknown
is_sealed,239105,yes
is_sealed,248184,yes
is_sealed,151538,yes
is_sealed,56728,yes
is_sealed,197779,yes
is_sealed,174201,yes
is_sealed,18431,yes
is_sealed,102579,no
is_sealed,63632,yes
is_sealed,298025,yes
is_sealed,194941,yes
is_sealed,28970,yes
is_sealed,235065,no
is_sealed,307278,yes
is_sealed,229420,yes
is_sealed,104950,yes
is_sealed,255152,yes
is_sealed,235286,yes
is_sealed,130515,yes
is_sealed,12691,no
is_sealed,239723,yes
is_sealed,190657,yes
is_sealed,29985,yes
is_sealed,40828,yes
is_sealed,183507,yes
is_sealed,73095,yes
is_sealed,37607,no
is_sealed,233570,yes
is_sealed,150496,yes
is_sealed,15882,unknown
is_sealed,151054,yes
is_sealed,29616,yes
is_sealed,192573,no
is_sealed,152152,unknown
is_sealed,226609,yes
is_sealed,268363,yes
is_sealed,245035,yes
is_sealed,292545,yes
is_sealed,150704,no
is_sealed,303683,yes
is_sealed,301531,yes
is_sealed,135913,yes
is_sealed,280964,unknown
is_sealed,20204,yes
is_sealed,130719,yes
is_sealed,19270,yes
is_sealed,65200,yes
is_sealed,193513,yes
is_sealed,181160,yes
is_sealed,222332,yes
is_sealed,242075,yes
is_sealed,83362,yes
is_sealed,292527,yes
is_sealed,288163,yes
is_sealed,127200,yes
is_sealed,292488,yes
is_sealed,148689,yes
is_sealed,219369,yes
is_sealed,247400,yes
is_sealed,93592,unknown
is_sealed,250285,no
is_sealed,147633,yes
is_sealed,174742,yes
is_sealed,234376,yes
is_sealed,176589,no
is_sealed,111489,no
is_sealed,197767,unknown
is_sealed,292221,no
is_sealed,127186,yes
is_sealed,194311,yes
is_sealed,66275,yes
is_sealed,255738,unknown
is_sealed,191511,yes
is_sealed,52598,yes
is_sealed,251829,yes
is_sealed,56707,yes
is_sealed,187148,yes
is_sealed,99585,yes
is_sealed,185815,unknown
is_sealed,305891,yes
is_sealed,287906,no
is_sealed,127668,yes
is_sealed,206147,unknown
is_sealed,5575,yes
is_sealed,221189,yes
is_sealed,284643,unknown
is_sealed,221163,yes
is_sealed,208230,yes
is_sealed,256060,unknown
is_sealed,172408,yes
is_sealed,89920,yes
is_sealed,41609,yes
is_sealed,174315,yes
is_sealed,201031,yes
is_sealed,82343,yes
is_sealed,266967,yes
is_sealed,282748,no
is_sealed,301924,yes
is_sealed,250201,yes
is_sealed,242612,yes
is_sealed,206322,unknown
is_sealed,6711,unknown
is_sealed,126758,yes
is_sealed,102204,yes
is_sealed,67686,yes
is_sealed,5296,unknown
is_sealed,205601,yes
is_sealed,224673,yes
is_sealed,198234,unknown
is_sealed,192749,yes
is_sealed,93108,yes
is_sealed,176319,yes
is_sealed,113707,yes
is_sealed,93142,yes
is_sealed,226566,yes
is_sealed,196434,no
is_sealed,216121,yes
is_sealed,216774,unknown
is_sealed,108061,yes
is_sealed,24811,unknown
is_sealed,20258,yes
is_sealed,246040,yes
is_sealed,91895,unknown
is_sealed,176222,yes
is_sealed,105578,yes
is_sealed,161300,yes
