property,annotation_id_0,annotation_id_1,response
mass,183293,40618,left
mass,102924,118199,right
mass,55476,208807,right
mass,200129,193513,left
mass,204106,49722,right
mass,305039,197328,equal
mass,21819,150389,left
mass,262423,179456,right
mass,276524,16194,equal
mass,132662,250470,equal
mass,221131,25579,left
mass,55405,202009,right
mass,290135,193430,right
mass,149543,97912,equal
mass,19550,121660,left
mass,206237,186946,left
mass,212800,46996,right
mass,260453,108061,left
mass,93660,84692,left
mass,190657,144370,right
mass,206961,118322,left
mass,11031,167869,right
mass,28452,110151,equal
mass,177665,278719,right
mass,85547,274665,equal
mass,157975,233570,right
mass,173452,132954,right
mass,144923,155606,equal
mass,161124,67670,right
mass,261040,266810,right
mass,281134,52452,left
mass,230991,298683,left
mass,176057,204866,left
mass,157094,181354,right
mass,301418,252373,equal
mass,157975,86268,right
mass,46996,223949,left
mass,131970,267164,right
mass,53665,290401,left
mass,251935,255879,left
mass,53019,74802,equal
mass,261942,29381,right
mass,119180,236449,left
mass,110644,61276,right
mass,95008,265028,left
mass,73165,161938,left
mass,105578,205984,left
mass,19768,274701,left
mass,121950,40718,left
mass,65595,67998,equal
mass,224897,172649,right
mass,241087,12749,right
mass,139093,9560,equal
mass,147710,251736,left
mass,82566,300347,equal
mass,30443,47393,left
mass,22499,168221,right
mass,210222,188532,equal
mass,146293,190274,left
mass,119426,13950,left
mass,42607,173139,right
mass,54293,177213,right
mass,30969,263128,right
mass,102579,257500,equal
mass,8144,62240,left
mass,301169,163202,right
mass,251829,308586,unclear
mass,136120,285558,right
mass,293208,174495,left
mass,15882,233570,unclear
mass,205385,17104,left
mass,146098,25598,right
mass,235613,88981,left
mass,113393,72053,left
mass,292716,103907,left
mass,153309,108895,right
mass,141207,26048,left
mass,78437,309037,right
mass,174732,127776,left
mass,83218,77877,right
mass,214616,92138,right
mass,56707,267024,unclear
mass,214128,25069,left
mass,147687,191342,equal
mass,292488,208230,unclear
mass,153444,251219,right
mass,198536,192116,right
mass,250134,82542,right
mass,58601,117023,right
mass,18916,90965,equal
mass,300667,106805,right
mass,197031,163644,right
mass,51587,216121,left
mass,48760,222332,right
mass,126800,241997,right
mass,108108,115329,left
mass,147135,116100,left
mass,211208,271385,right
mass,250611,151213,left
mass,127186,113707,equal
mass,250134,200690,left
mass,203867,127200,left
mass,210966,206322,left
mass,34806,212668,right
mass,278520,144736,left
mass,20976,95170,right
mass,224897,26566,left
mass,26329,255535,equal
mass,255170,197779,left
mass,93644,22449,left
mass,141012,217714,left
mass,65796,257838,right
mass,211102,45401,left
mass,146453,132532,right
mass,244759,196937,equal
mass,222920,265051,left
mass,144008,235065,right
mass,70743,101002,right
mass,67336,51035,right
mass,210867,240179,left
mass,42607,126574,left
mass,118549,261645,left
mass,254426,1156,unclear
mass,217236,88535,left
mass,48760,36485,right
mass,257494,214445,right
mass,198687,79456,right
mass,242612,187148,equal
mass,123944,81631,unclear
mass,63408,97972,left
mass,59386,287728,right
mass,87483,179598,left
mass,183507,206147,right
mass,11114,195810,left
mass,48511,223364,left
mass,302687,201776,left
mass,75039,16324,left
mass,4536,272205,equal
mass,60299,119485,equal
mass,299976,72679,right
mass,291911,187137,right
mass,258630,64491,left
mass,147190,79456,left
