property,annotation_id_0,response
material,272653,ceramic
material,268217,plastic
material,220027,food
material,109916,ceramic
material,68002,plastic
material,189397,paper
material,174315,plastic
material,144264,componets eletronic
material,299629,plastic
material,170849,plastic
material,217258,ceramic
material,150704,metal
material,214847,glass
material,275022,metal
material,71443,plastic
material,86913,glass
material,177470,plastic
material,134012,wood
material,158474,plastic
material,73426,fabric
material,234790,fabric
material,134791,wood
material,44409,ceramic
material,155959,plastic
material,183755,plastic
material,151361,plastic
material,16646,metal
material,227379,glass
material,163177,plastic
material,153309,wax
material,277518,glass
material,71389,glass
material,179598,plastic
material,247926,glass
material,261040,metal
material,2619,metal
material,50170,unknown
material,35133,plastic
material,190330,plastic
material,116561,plastic
material,260147,fabric
material,220724,glass
material,156143,ceramic
material,301774,glass
material,18591,plastic
material,79041,plastic
material,38310,plastic
material,236743,ceramic
material,164112,plastic
material,257494,metal
material,90056,plastic
material,7904,unknown
material,81222,glass
material,214616,wood
material,287906,glass
material,264051,glass
material,216539,ceramic
material,112752,plastic
material,92136,metal
material,167514,plastic
material,5561,ceramic
material,147185,metal
material,170783,plastic
material,205949,wood
material,294047,metal
material,256387,food
material,147135,plastic
material,260964,unknown
material,180113,plastic
material,56226,metal
material,59753,metal
material,175808,plastic
material,179512,glass
material,146293,food
material,157803,plastic
material,136470,food
material,302883,wood
material,26467,food
material,225113,ceramic
material,292445,plastic
material,132662,ceramic
material,98974,wax
material,275844,ceramic
material,200320,fabric
material,217480,glass
material,299794,glass
material,111094,plastic
material,176616,metal
material,131715,plastic
material,78774,plastic
material,85422,glass
material,279461,ceramic
material,29616,metal
material,184323,plastic
material,192116,plastic
material,222315,fabric
material,27538,metal
material,72188,glass
material,11127,plastic
material,114307,plastic
material,210966,ceramic
material,130354,metal
material,259423,fabric
material,21214,fabric
material,191502,fabric
material,176222,glass
material,276715,ceramic
material,180369,fabric
material,243881,wood
material,307404,food
material,207461,plastic
material,151910,fabric
material,184563,metal
material,29985,plastic
material,13279,metal
material,187159,fabric
material,193513,glass
material,204656,glass
material,113544,metal
material,302687,wood
material,124247,metal
material,110644,wood
material,62240,glass
material,148460,metal
material,279937,plastic
material,81103,plastic
material,247400,glass
material,138582,metal
material,190856,plastic
material,246678,glass
material,131298,metal
material,50735,fabric
material,111223,metal
material,7426,fabric
material,37227,fabric
material,31735,unknown
material,304523,ceramic
material,269017,wood
material,173528,plastic
material,300552,plastic
material,190657,glass
material,257634,ceramic
material,4048,glass
material,128742,glass
material,30969,metal
material,225849,metal
material,2715,ceramic
material,84692,plastic
material,127668,plastic
material,192749,glass
material,153434,metal
material,45401,metal
material,301299,metal
material,125548,metal
material,137562,glass
material,45083,plastic
material,134668,plastic
material,30176,plastic
material,105055,metal
material,304367,metal
material,99315,plastic
material,37607,plastic
material,40951,plastic
material,117957,metal
material,272210,metal
material,61495,metal
material,285499,fabric
material,18916,metal
material,300627,plastic
material,272653,ceramic
material,268217,plastic
material,220027,food
material,109916,ceramic
material,68002,wood
material,189397,paper
material,174315,plastic
material,144264,glass
material,299629,plastic
material,170849,plastic
material,217258,ceramic
material,150704,paper
material,214847,glass
material,275022,plastic
material,71443,plastic
material,86913,glass
material,177470,metal
material,134012,wood
material,158474,plastic
material,73426,fabric
material,234790,plastic
material,134791,wood
material,44409,ceramic
material,155959,plastic
material,183755,glass
material,151361,plastic
material,16646,metal
material,227379,glass
material,163177,plastic
material,153309,unknown
material,277518,glass
material,71389,glass
material,179598,metal
material,247926,glass
material,261040,wood
material,2619,plastic
material,50170,metal
material,35133,plastic
material,190330,plastic
material,116561,unknown
material,260147,fabric
material,220724,glass
material,156143,plastic
material,301774,glass
material,18591,plastic
material,79041,plastic
material,38310,glass
material,236743,ceramic
material,164112,plastic
material,257494,metal
material,90056,unknown
material,7904,plastic
material,81222,plastic
material,214616,unknown
material,287906,glass
material,264051,glass
material,216539,ceramic
material,112752,unknown
material,92136,metal
material,167514,plastic
material,5561,plastic
material,147185,metal
material,170783,plastic
material,205949,wood
material,294047,metal
material,256387,food
material,147135,plastic
material,260964,plant
material,180113,wood
material,56226,metal
material,59753,metal
material,175808,plastic
material,179512,glass
material,146293,food
material,157803,metal
material,136470,food
material,302883,wood
material,26467,food
material,225113,ceramic
material,292445,unknown
material,132662,ceramic
material,98974,plastic
material,275844,food
material,200320,fabric
material,217480,metal
material,299794,glass
material,111094,plastic
material,176616,food
material,131715,plastic
material,78774,plastic
material,85422,glass
material,279461,food
material,29616,metal
material,184323,plastic
material,192116,plastic
material,222315,fabric
material,27538,metal
material,72188,plastic
material,11127,plastic
material,114307,plastic
material,210966,food
material,130354,plastic
material,259423,fabric
material,21214,fabric
material,191502,fabric
material,176222,plastic
material,276715,ceramic
material,180369,fabric
material,243881,glass
material,307404,food
material,207461,plastic
material,151910,fabric
material,184563,metal
material,29985,plastic
material,13279,metal
material,187159,fabric
material,193513,glass
material,204656,glass
material,113544,metal
material,302687,wood
material,124247,metal
material,110644,wood
material,62240,plastic
material,148460,metal
material,279937,plastic
material,81103,unknown
material,247400,glass
material,138582,metal
material,190856,wood
material,246678,glass
material,131298,metal
material,50735,fabric
material,111223,metal
material,7426,fabric
material,37227,fabric
material,31735,plastic
material,304523,plant
material,269017,wood
material,173528,plastic
material,300552,plastic
material,190657,glass
material,257634,ceramic
material,4048,plastic
material,128742,glass
material,30969,metal
