property,annotation_id_0,response
transparency,170849,opaque
transparency,218886,opaque
transparency,93822,opaque
transparency,302883,unknown
transparency,220691,translucent
transparency,145035,opaque
transparency,220799,opaque
transparency,69824,opaque
transparency,187148,transparent
transparency,289887,opaque
transparency,192427,opaque
transparency,216550,opaque
transparency,66205,translucent
transparency,176317,opaque
transparency,245256,opaque
transparency,235777,opaque
transparency,163744,opaque
transparency,269007,opaque
transparency,92312,opaque
transparency,119892,opaque
transparency,170513,opaque
transparency,253787,opaque
transparency,187719,opaque
transparency,186946,opaque
transparency,23327,opaque
transparency,128812,transparent
transparency,286200,opaque
transparency,93406,translucent
transparency,243525,opaque
transparency,175021,opaque
transparency,70378,opaque
transparency,138351,opaque
transparency,173998,opaque
transparency,9107,translucent
transparency,63540,translucent
transparency,237156,opaque
transparency,232444,opaque
transparency,307861,opaque
transparency,220498,opaque
transparency,153082,opaque
transparency,257494,opaque
transparency,248357,opaque
transparency,258630,opaque
transparency,168227,opaque
transparency,204656,translucent
transparency,42819,opaque
transparency,99585,transparent
transparency,298729,translucent
transparency,297092,opaque
transparency,117479,opaque
transparency,32512,opaque
transparency,176616,opaque
transparency,44594,opaque
transparency,3402,opaque
transparency,2951,opaque
transparency,214847,opaque
transparency,217258,opaque
transparency,187286,opaque
transparency,297304,opaque
transparency,48932,opaque
transparency,219704,transparent
transparency,164712,opaque
transparency,217629,opaque
transparency,295872,opaque
transparency,272205,translucent
transparency,125306,opaque
transparency,18555,opaque
transparency,234645,opaque
transparency,305859,opaque
transparency,131825,opaque
transparency,105938,opaque
transparency,5575,translucent
transparency,126800,opaque
transparency,117820,opaque
transparency,72188,opaque
transparency,172408,translucent
transparency,204910,opaque
transparency,197487,opaque
transparency,129867,transparent
transparency,49271,opaque
transparency,305052,opaque
transparency,163212,transparent
transparency,131831,opaque
transparency,8786,opaque
transparency,556,opaque
transparency,297317,opaque
transparency,298985,opaque
transparency,123944,translucent
transparency,252714,opaque
transparency,126447,opaque
transparency,127279,opaque
transparency,132532,transparent
transparency,263294,opaque
transparency,147633,transparent
transparency,91652,opaque
transparency,71371,opaque
transparency,253359,opaque
transparency,125108,transparent
transparency,255152,translucent
transparency,55969,opaque
transparency,81619,opaque
transparency,186333,opaque
transparency,206631,transparent
transparency,233704,transparent
transparency,157063,opaque
transparency,53493,opaque
transparency,293688,opaque
transparency,128742,transparent
transparency,205601,transparent
transparency,132118,opaque
transparency,98523,opaque
transparency,208215,opaque
transparency,92302,opaque
transparency,139564,opaque
transparency,266645,translucent
transparency,184563,opaque
transparency,197881,opaque
transparency,88321,transparent
transparency,169542,opaque
transparency,14395,opaque
transparency,142719,opaque
transparency,52671,opaque
transparency,286207,transparent
transparency,23655,opaque
transparency,1435,opaque
transparency,23075,opaque
transparency,146280,opaque
transparency,296949,opaque
transparency,291329,opaque
transparency,75995,opaque
transparency,136431,opaque
transparency,103531,opaque
transparency,253635,transparent
transparency,298533,opaque
transparency,119380,opaque
transparency,267773,opaque
transparency,26467,opaque
transparency,68519,transparent
transparency,83646,opaque
transparency,262197,opaque
transparency,223302,opaque
transparency,25008,opaque
transparency,179244,opaque
transparency,133741,translucent
transparency,7277,opaque
transparency,293445,opaque
transparency,80270,opaque
transparency,216539,opaque
transparency,300679,opaque
transparency,172042,opaque
transparency,237126,transparent
transparency,217136,opaque
transparency,274133,opaque
transparency,150718,opaque
transparency,299378,transparent
transparency,244696,opaque
transparency,78800,opaque
transparency,244530,opaque
